Game,Flavor Text
red,"When attacked, it launches its horns in quick volleys. Its innards have never been seen."
blue,"When attacked, it launches its horns in quick volleys. Its innards have never been seen."
yellow,"For protection, it uses its harder- than-diamonds shell. It also shoots spikes from the shell."
gold,"Once it slams its shell shut, it is impossible to open, even by those with superi­ or strength."
silver,"CLOYSTER that live in seas with harsh tidal currents grow large, sharp spikes on their shells."
crystal,Even a missile can't break the spikes it uses to stab opponents. They're even hard­ er than its shell.
ruby,"CLOYSTER is capable of swimming in the sea. It does so by swallowing water, then jetting it out toward the rear. This POKéMON shoots spikes from its shell using the same system."
sapphire,"CLOYSTER is capable of swimming in the sea. It does so by swallowing water, then jetting it out toward the rear. This POKéMON shoots spikes from its shell using the same system."
emerald,"It swims in the sea by swallowing water, then jetting it out toward the rear. The CLOYSTER shoots spikes from its shell using the same system."
firered,"Its shell is extremely hard. It cannot be shattered, even with a bomb. The shell opens only when it is attacking."
leafgreen,"When attacked, it launches its horns in quick volleys. Its innards have never been seen."
diamond,It fights by keeping its shell tightly shut for protection and by shooting spikes to repel foes.
pearl,It fights by keeping its shell tightly shut for protection and by shooting spikes to repel foes.
platinum,It fights by keeping its shell tightly shut for protection and by shooting spikes to repel foes.
heartgold,"Once it slams its shell shut, it is impossible to open, even by those with superior strength."
soulsilver,"CLOYSTER that live in seas with harsh tidal currents grow large, sharp spikes on their shells."
black,It fights by keeping its shell tightly shut for protection and by shooting spikes to repel foes.
white,It fights by keeping its shell tightly shut for protection and by shooting spikes to repel foes.
black-2,It fights by keeping its shell tightly shut for protection and by shooting spikes to repel foes.
white-2,It fights by keeping its shell tightly shut for protection and by shooting spikes to repel foes.
x,"Cloyster that live in seas with harsh tidal currents grow large, sharp spikes on their shells."
y,"Its shell is extremely hard. It cannot be shattered, even with a bomb. The shell opens only when it is attacking."
omega-ruby,"Cloyster is capable of swimming in the sea. It does so by swallowing water, then jetting it out toward the rear. This Pokémon shoots spikes from its shell using the same system."
alpha-sapphire,"Cloyster is capable of swimming in the sea. It does so by swallowing water, then jetting it out toward the rear. This Pokémon shoots spikes from its shell using the same system."
sun,Its hard shell cannot be shattered—not even by a bomb. The contents of the shell remain unknown.
moon,Excavation of the tombs of ancient hunting tribes has turned up many spears tipped with spikes that had fallen off this Pokémon’s shell.
ultra-sun,"If areas of Cloyster’s very hard shell get damaged, those areas swell, gradually growing into large sharp spikes."
ultra-moon,Slowpoke tails are its favorite food. It has even been known to come up on land to look for Slowpoke from time to time.
lets-go-pikachu,"For protection, it uses its harder-than-diamond shell. It also shoots spikes from the shell."
lets-go-eevee,"For protection, it uses its harder-than-diamond shell. It also shoots spikes from the shell."
sword,"Its shell is extremely hard. It cannot be shattered, even with a bomb. The shell opens only when it is attacking."
shield,"Once it slams its shell shut, it is impossible to open, even by those with superior strength."
