Game,Flavor Text
red,"Stiffens its ears to sense danger. The larger its horns, the more powerful its secreted venom."
blue,"Stiffens its ears to sense danger. The larger its horns, the more powerful its secreted venom."
yellow,"Its large ears are always kept upright. If it senses danger, it will attack with a poisonous sting."
gold,"It is small, but its horn is filled with poison. It charges then stabs with the horn to inject poison."
silver,It raises its big ears to check its surroundings. It will strike first if it senses any danger.
crystal,It constantly moves its large ears in many directions in order to detect danger right away.
ruby,"The male NIDORAN has developed muscles for moving its ears. Thanks to them, the ears can be freely moved in any direction. Even the slightest sound does not escape this POKéMON’s notice."
sapphire,"The male NIDORAN has developed muscles for moving its ears. Thanks to them, the ears can be freely moved in any direction. Even the slightest sound does not escape this POKéMON’s notice."
emerald,The male NIDORAN has developed muscles that freely move its ears in any direction. Even the slightest sound does not escape this POKéMON’s notice.
firered,Its large ears are flapped like wings when it is listening to distant sounds. It extends toxic barbs when angered.
leafgreen,"It stiffens its ears to sense danger. The larger its horns, the more  powerful its secreted venom."
diamond,It scans its surroundings by raising its ears out of the grass. Its toxic horn is for protection.
pearl,It scans its surroundings by raising its ears out of the grass. Its toxic horn is for protection.
platinum,It scans its surroundings by raising its ears out of the grass. Its toxic horn is for protection.
heartgold,"It is small, but its horn is filled with poison. It charges then stabs with the horn to inject poison."
soulsilver,It raises its big ears to check its surroundings. It will strike first if it senses any danger.
black,It scans its surroundings by raising its ears out of the grass. Its toxic horn is for protection.
white,It scans its surroundings by raising its ears out of the grass. Its toxic horn is for protection.
black-2,It scans its surroundings by raising its ears out of the grass. Its toxic horn is for protection.
white-2,It scans its surroundings by raising its ears out of the grass. Its toxic horn is for protection.
x,It scans its surroundings by raising its ears out of the grass. Its toxic horn is for protection.
y,Its large ears are flapped like wings when it is listening to distant sounds. It extends toxic barbs when angered.
omega-ruby,"Nidoran♂ has developed muscles for moving its ears. Thanks to them, the ears can be freely moved in any direction. Even the slightest sound does not escape this Pokémon’s notice."
alpha-sapphire,"Nidoran♂ has developed muscles for moving its ears. Thanks to them, the ears can be freely moved in any direction. Even the slightest sound does not escape this Pokémon’s notice."
lets-go-pikachu,"Its large ears are always kept upright. If it senses danger, it will attack with a poisonous sting."
lets-go-eevee,"Its large ears are always kept upright. If it senses danger, it will attack with a poisonous sting."
sword,"The horn on a male Nidoran’s forehead contains a powerful poison. This is a very cautious Pokémon, always straining its large ears."
shield,"Small but brave, this Pokémon will hold its ground and even risk its life in battle to protect the female it’s friendly with."
