Game,Flavor Text
black,"When its body temperature goes up, it turns into steam and vanishes. When its temperature lowers, it returns to ice."
white,They are born in snow clouds. They use chains made of ice crystals to capture prey.
black-2,"They are composed of ice crystals. They capture prey with chains of ice, freezing the prey at -148° F."
white-2,"They are composed of ice crystals. They capture prey with chains of ice, freezing the prey at -148° F."
x,They are born in snow clouds. They use chains made of ice crystals to capture prey.
y,"They are composed of ice crystals. They capture prey with chains of ice, freezing the prey at -148 degrees Fahrenheit."
omega-ruby,They are born in snow clouds. They use chains made of ice crystals to capture prey.
alpha-sapphire,"They are composed of ice crystals. They capture prey with chains of ice, freezing the prey at -148 degrees Fahrenheit."
sword,"With its icy chains, Cryogonal freezes those it encounters. It then takes its victims away to somewhere unknown."
shield,"When the weather gets hot, these Pokémon turn into water vapor. Cryogonal are almost never seen during summer."
