Game,Flavor Text
ruby,"FEEBAS’s fins are ragged and tattered from the start of its life. Because of its shoddy appearance, this POKéMON is largely ignored. It is capable of living in both the sea and in rivers."
sapphire,"While FEEBAS’s body is in tatters, it has a hardy and tenacious life force that enables it to live anywhere. However, this POKéMON is also slow and dimwitted, making it an easy catch."
emerald,"FEEBAS live in ponds that are heavily infested with weeds. Because of its hopelessly shabby appearance, it seems as if few TRAINERS raise it."
firered,"Ridiculed for its shabby appearance, it is ignored by researchers. It lives in ponds choked with weeds."
leafgreen,"Ridiculed for its shabby appearance, it is ignored by researchers. It lives in ponds choked with weeds."
diamond,"It is famous for its shabby appearance. While populous, they tend to cluster in set locations."
pearl,"It eats anything, so it can even live in polluted streams and lakes. No one pays any attention to it."
platinum,"It is a shabby and ugly Pokémon. However, it is very hardy and can survive on little water."
heartgold,It is the shabbiest Pokémon of all. It forms in schools and lives at the bottom of rivers.
soulsilver,It is the shabbiest Pokémon of all. It forms in schools and lives at the bottom of rivers.
black,"It is a shabby and ugly Pokémon. However, it is very hardy and can survive on little water."
white,"It is a shabby and ugly Pokémon. However, it is very hardy and can survive on little water."
black-2,"It is a shabby and ugly Pokémon. However, it is very hardy and can survive on little water."
white-2,"It is a shabby and ugly Pokémon. However, it is very hardy and can survive on little water."
x,"It eats anything, so it can even live in polluted streams and lakes. No one pays any attention to it."
y,It is the shabbiest Pokémon of all. It forms in schools and lives at the bottom of rivers.
omega-ruby,"Feebas’s fins are ragged and tattered from the start of its life. Because of its shoddy appearance, this Pokémon is largely ignored. It is capable of living in both the sea and in rivers."
alpha-sapphire,"While Feebas’s body is in tatters, it has a hardy and tenacious life force that enables it to live anywhere. However, this Pokémon is also slow and dimwitted, making it an easy catch."
sun,"A tough Pokémon that is perfectly fine even in dirty water. However, due to its ragged, shabby appearance, it isn’t popular."
moon,"Although unattractive and unpopular, this Pokémon’s marvelous vitality has made it a subject of research."
ultra-sun,"They look ragged, so no one catches them. They look like they’d taste bad, so predators won’t eat them. And their numbers continue to grow."
ultra-moon,"Because of its wretched appearance, most people pay it no attention, but there are some who collect Feebas—and Feebas alone!"
sword,"Although unattractive and unpopular, this Pokémon’s marvelous vitality has made it a subject of research."
shield,"It is a shabby and ugly Pokémon. However, it is very hardy and can survive on little water."
