Game,Flavor Text
ruby,"BEAUTIFLY’s favorite food is the sweet pollen of flowers. If you want to see this POKéMON, just leave a potted flower by an open window. BEAUTIFLY is sure to come looking for pollen."
sapphire,"BEAUTIFLY has a long mouth like a coiled needle, which is very convenient for collecting pollen from flowers. This POKéMON rides the spring winds as it flits around gathering pollen."
emerald,Its colorfully patterned wings are its most prominent feature. It flies through flower-covered fields collecting pollen. It attacks ferociously when angered.
firered,"Despite its appearance, it has an aggressive nature. It attacks by jabbing with its long, thin mouth."
leafgreen,"Despite its appearance, it has an aggressive nature. It attacks by jabbing with its long, thin mouth."
diamond,"It has an aggressive nature. It stabs prey with its long, narrow mouth to drain the prey’s fluids."
pearl,"When flower fields bloom, it flits around, collecting pollen. Despite its appearance, it is savage."
platinum,"Despite its looks, it is aggressive. It jabs with its long, thin mouth if disturbed while collecting pollen."
heartgold,Vibrantly patterned wings are its prominent feature. It sucks sweet flower nectar with its long mouth.
soulsilver,Vibrantly patterned wings are its prominent feature. It sucks sweet flower nectar with its long mouth.
black,"Despite its looks, it is aggressive. It jabs with its long, thin mouth if disturbed while collecting pollen."
white,"Despite its looks, it is aggressive. It jabs with its long, thin mouth if disturbed while collecting pollen."
black-2,"Despite its looks, it is aggressive. It jabs with its long, thin mouth if disturbed while collecting pollen."
white-2,"Despite its looks, it is aggressive. It jabs with its long, thin mouth if disturbed while collecting pollen."
x,Vibrantly patterned wings are its prominent feature. It sucks sweet flower nectar with its long mouth.
y,"It has an aggressive nature. It stabs prey with its long, narrow mouth to drain the prey’s fluids."
omega-ruby,"Beautifly’s favorite food is the sweet pollen of flowers. If you want to see this Pokémon, just leave a potted flower by an open window. Beautifly is sure to come looking for pollen."
alpha-sapphire,"Beautifly has a long mouth like a coiled needle, which is very convenient for collecting pollen from flowers. This Pokémon rides the spring winds as it flits around gathering pollen."
legends-arceus,"A colorful and incredibly beautiful but also greedy Pokémon. In an effort to keep its favorite food all to itself, it will chase away Combee as they try to gather nectar."
