Game,Flavor Text
ruby,"Normally, WHISMUR’s voice is very quiet - it is barely audible even if one is paying close attention. However, if this POKéMON senses danger, it starts crying at an earsplitting volume."
sapphire,"WHISMUR is very timid. If it starts to cry loudly, it becomes startled by its own crying and cries even harder. When it finally stops crying, the POKéMON goes to sleep, all tired out."
emerald,"Its cries equal a jet plane in volume. It inhales through its ear canals. Because of this system, it can cry continually without having to catch its breath."
firered,"It usually murmurs, but starts crying loudly if it senses danger. It stops when its ear covers are shut."
leafgreen,"It usually murmurs, but starts crying loudly if it senses danger. It stops when its ear covers are shut."
diamond,"Usually, its cries are like quiet murmurs. If frightened, it shrieks at the same volume as a jet plane."
pearl,"Usually, its cries are like quiet murmurs. If frightened, it shrieks at the same volume as a jet plane."
platinum,"Usually, its cries are like quiet murmurs. If frightened, it shrieks at the same volume as a jet plane."
heartgold,"If it senses danger, it scares the foe by crying out with the volume of a jet-plane engine."
soulsilver,"If it senses danger, it scares the foe by crying out with the volume of a jet-plane engine."
black,"Usually, its cries are like quiet murmurs. If frightened, it shrieks at the same volume as a jet plane."
white,"Usually, its cries are like quiet murmurs. If frightened, it shrieks at the same volume as a jet plane."
black-2,"Usually, its cries are like quiet murmurs. If frightened, it shrieks at the same volume as a jet plane."
white-2,"Usually, its cries are like quiet murmurs. If frightened, it shrieks at the same volume as a jet plane."
x,It usually murmurs but starts crying loudly if it senses danger. It stops when its ear covers are shut.
y,"If it senses danger, it scares the foe by crying out with the volume of a jet-plane engine."
omega-ruby,"Normally, Whismur’s voice is very quiet—it is barely audible even if one is paying close attention. However, if this Pokémon senses danger, it starts crying at an earsplitting volume."
alpha-sapphire,"Whismur is very timid. If it starts to cry loudly, it becomes startled by its own crying and cries even harder. When it finally stops crying, the Pokémon goes to sleep, all tired out."
sword,"The cry of a Whismur is over 100 decibels. If you’re close to a Whismur when it lets out a cry, you’ll be stuck with an all-day headache."
shield,"When Whismur cries, the sound of its own voice startles it, making the Pokémon cry even louder. It cries until it’s exhausted, then it falls asleep."
