Game,Flavor Text
black-2,It races around the world to purify fouled water. It dashes away with the north wind.
white-2,It races around the world to purify fouled water. It dashes away with the north wind.
gold,"Said to be the reincarnation of north winds, it can instantly purify filthy, murky water."
silver,This POKéMON races across the land. It is said that north winds will somehow blow when­ ever it appears.
crystal,"This divine POKéMON blows around the world, always in search of a pure reservoir."
ruby,SUICUNE embodies the compassion of a pure spring of water. It runs across the land with gracefulness. This POKéMON has the power to purify dirty water.
sapphire,SUICUNE embodies the compassion of a pure spring of water. It runs across the land with gracefulness. This POKéMON has the power to purify dirty water.
emerald,SUICUNE embodies the compassion of a pure spring of water. It runs across the land with gliding elegance. It has the power to purify dirty water.
firered,This POKéMON races across the land. It is said that north winds will somehow blow whenever it appears.
leafgreen,"Said to be the reincarnation of north winds, it can instantly purify filthy, murky water."
diamond,It races around the world to purify fouled water. It dashes away with the north wind.
pearl,It races around the world to purify fouled water. It dashes away with the north wind.
platinum,It races around the world to purify fouled water. It dashes away with the north wind.
heartgold,"Said to be the embodiment of north winds, it can instantly purify filthy, murky water."
soulsilver,This Pokémon races across the land. It is said that north winds will somehow blow whenever it appears.
black,It races around the world to purify fouled water. It dashes away with the north wind.
white,It races around the world to purify fouled water. It dashes away with the north wind.
x,It races around the world to purify fouled water. It dashes away with the north wind.
y,"Said to be the embodiment of north winds, it can instantly purify filthy, murky water."
omega-ruby,Suicune embodies the compassion of a pure spring of water. It runs across the land with gracefulness. This Pokémon has the power to purify dirty water.
alpha-sapphire,Suicune embodies the compassion of a pure spring of water. It runs across the land with gracefulness. This Pokémon has the power to purify dirty water.
