Game,Flavor Text
ruby,SWAMPERT is very strong. It has enough power to easily drag a boulder weighing more than a ton. This POKéMON also has powerful vision that lets it see even in murky water.
sapphire,"SWAMPERT predicts storms by sensing subtle differences in the sounds of waves and tidal winds with its fins. If a storm is approaching, it piles up boulders to protect itself."
emerald,"If it senses the approach of a storm and a tidal wave, it protects its seaside nest by piling up boulders. It swims as fast as a jet ski."
firered,"Its arms are rock-hard. With one swing, they can batter down its foe. It makes its nest on beautiful beaches."
leafgreen,"Its arms are rock-hard. With one swing, they can batter down its foe. It makes its nest on beautiful beaches."
diamond,It can swim while towing a large ship. It bashes down foes with a swing of its thick arms.
pearl,It can swim while towing a large ship. It bashes down foes with a swing of its thick arms.
platinum,It can swim while towing a large ship. It bashes down foes with a swing of its thick arms.
heartgold,"Its arms are hard as rock. With one swing, it can break a boulder into pieces."
soulsilver,"Its arms are hard as rock. With one swing, it can break a boulder into pieces."
black,It can swim while towing a large ship. It bashes down foes with a swing of its thick arms.
white,It can swim while towing a large ship. It bashes down foes with a swing of its thick arms.
black-2,It can swim while towing a large ship. It bashes down foes with a swing of its thick arms.
white-2,It can swim while towing a large ship. It bashes down foes with a swing of its thick arms.
x,"Its arms are hard as rock. With one swing, it can break a boulder into pieces."
y,It can swim while towing a large ship. It bashes down foes with a swing of its thick arms.
omega-ruby,Swampert is very strong. It has enough power to easily drag a boulder weighing more than a ton. This Pokémon also has powerful vision that lets it see even in murky water.
alpha-sapphire,"Swampert predicts storms by sensing subtle differences in the sounds of waves and tidal winds with its fins. If a storm is approaching, it piles up boulders to protect itself."
