Game,Flavor Text
black,"When its body dries out, it weakens. So, to prevent dehydration, it wraps itself in many layers of thin membrane."
white,"Having removed its heavy shell, it becomes very light and can fight with ninja-like movements."
black-2,"When its body dries out, it weakens. So it wraps a membrane around itself for protection while it spits poison."
white-2,"When its body dries out, it weakens. So it wraps a membrane around itself for protection while it spits poison."
x,"Having removed its heavy shell, it becomes very light and can fight with ninja-like movements."
y,"When its body dries out, it weakens. So, to prevent dehydration, it wraps itself in many layers of thin membrane."
omega-ruby,"Having removed its heavy shell, it becomes very light and can fight with ninja-like movements."
alpha-sapphire,"When its body dries out, it weakens. So, to prevent dehydration, it wraps itself in many layers of thin membrane."
sword,It moves with blinding speed and lobs poison at foes. Featuring Accelgor as a main character is a surefire way to make a movie or comic popular.
shield,"Discarding its shell made it nimble. To keep itself from dehydrating, it wraps its body in bands of membrane."
