Game,Flavor Text
diamond,"With nerves of steel, nothing can perturb it. It is more agile and active than it appears."
pearl,It constantly gnaws on logs and rocks to whittle down its front teeth. It nests alongside water.
platinum,A comparison revealed that BIDOOF’s front teeth grow at the same rate as RATTATA’s.
heartgold,It lives in groups by the water.  It chews up boulders and trees around its nest with its incisors.
soulsilver,It lives in groups by the water.  It chews up boulders and trees around its nest with its incisors.
black,A comparison revealed that Bidoof’s front teeth grow at the same rate as Rattata’s.
white,A comparison revealed that Bidoof’s front teeth grow at the same rate as Rattata’s.
black-2,A comparison revealed that Bidoof’s front teeth grow at the same rate as Rattata’s.
white-2,A comparison revealed that Bidoof’s front teeth grow at the same rate as Rattata’s.
x,"With nerves of steel, nothing can perturb it. It is more agile and active than it appears."
y,It constantly gnaws on logs and rocks to whittle down its front teeth. It nests alongside water.
omega-ruby,"With nerves of steel, nothing can perturb it. It is more agile and active than it appears."
alpha-sapphire,It constantly gnaws on logs and rocks to whittle down its front teeth. It nests alongside water.
legends-arceus,Bidoof has an unsophisticated face and is rarely flustered by anything. There have been incidents involving Bidoof sauntering into villages and gnawing on the houses without a single care.
