Game,Flavor Text
ruby,"During the daytime, CACTURNE remains unmoving so that it does not lose any moisture to the harsh desert sun. This POKéMON becomes active at night when the temperature drops."
sapphire,"If a traveler is going through a desert in the thick of night, CACTURNE will follow in a ragtag group. The POKéMON are biding their time, waiting for the traveler to tire and become incapable of moving."
emerald,"After spending thousands of years in harsh deserts, its blood transformed into the same substances as sand. It is nocturnal, so it hunts at night."
firered,It lives in deserts. It becomes active at night when it hunts for prey exhausted from the desert’s heat.
leafgreen,It lives in deserts. It becomes active at night when it hunts for prey exhausted from the desert’s heat.
diamond,"It becomes active at night, seeking prey that is exhausted from the day’s desert heat."
pearl,"It becomes active at night, seeking prey that is exhausted from the day’s desert heat."
platinum,"It becomes active at night, seeking prey that is exhausted from the day’s desert heat."
heartgold,Packs of them follow travelers through the desert until the travelers can no longer move.
soulsilver,Packs of them follow travelers through the desert until the travelers can no longer move.
black,"It becomes active at night, seeking prey that is exhausted from the day’s desert heat."
white,"It becomes active at night, seeking prey that is exhausted from the day’s desert heat."
black-2,"It becomes active at night, seeking prey that is exhausted from the day’s desert heat."
white-2,"It becomes active at night, seeking prey that is exhausted from the day’s desert heat."
x,"It becomes active at night, seeking prey that is exhausted from the day’s desert heat."
y,Packs of them follow travelers through the desert until the travelers can no longer move.
omega-ruby,"During the daytime, Cacturne remains unmoving so that it does not lose any moisture to the harsh desert sun. This Pokémon becomes active at night when the temperature drops."
alpha-sapphire,"If a traveler is going through a desert in the thick of night, Cacturne will follow in a ragtag group. The Pokémon are biding their time, waiting for the traveler to tire and become incapable of moving."
