Game,Flavor Text
diamond,Shiny particles are released from its wings like a veil. It is said to represent the crescent moon.
pearl,Shiny particles are released from its wings like a veil. It is said to represent the crescent moon.
platinum,"On nights around the quarter moon, the aurora from its tail extends and undulates beautifully."
heartgold,Those who sleep holding CRESSELIA’s feather are assured of joyful dreams. It is said to represent the crescent moon.
soulsilver,Those who sleep holding CRESSELIA’s feather are assured of joyful dreams. It is said to represent the crescent moon.
black,"On nights around the quarter moon, the aurora from its tail extends and undulates beautifully."
white,"On nights around the quarter moon, the aurora from its tail extends and undulates beautifully."
black-2,"On nights around the quarter moon, the aurora from its tail extends and undulates beautifully."
white-2,"On nights around the quarter moon, the aurora from its tail extends and undulates beautifully."
x,Shiny particles are released from its wings like a veil. It is said to represent the crescent moon.
y,Those who sleep holding Cresselia’s feather are assured of joyful dreams. It is said to represent the crescent moon.
omega-ruby,Shiny particles are released from its wings like a veil. It is said to represent the crescent moon.
alpha-sapphire,Those who sleep holding Cresselia’s feather are assured of joyful dreams. It is said to represent the crescent moon.
legends-arceus,Cresselia is reminiscent of the crescent moon. It leaves a brilliant line of light in its wake as it flies across the night sky. I daresay it resembles the heavenly maiden who created the Milky Way.
