Game,Flavor Text
black,"This Pokémon was believed to have been born from the sun. When it evolves, its entire body is engulfed in flames."
white,The base of volcanoes is where they make their homes. They shoot fire from their five horns to repel attacking enemies.
black-2,"Said to have been born from the sun, it spews fire from its horns and encases itself in a cocoon of fire when it evolves."
white-2,"Said to have been born from the sun, it spews fire from its horns and encases itself in a cocoon of fire when it evolves."
x,"Said to have been born from the sun, it spews fire from its horns and encases itself in a cocoon of fire when it evolves."
y,The base of volcanoes is where they make their homes. They shoot fire from their five horns to repel attacking enemies.
omega-ruby,"Said to have been born from the sun, it spews fire from its horns and encases itself in a cocoon of fire when it evolves."
alpha-sapphire,The base of volcanoes is where they make their homes. They shoot fire from their five horns to repel attacking enemies.
ultra-sun,"When battling opponents, it sprays fire from its five horns. The max temperature of the flames can reach nearly 5,500 degrees Fahrenheit."
ultra-moon,"It protects itself with flame. Long years ago, people believed Larvesta had a nest on the sun."
sword,The people of ancient times believed that Larvesta fell from the sun.
shield,Larvesta’s body is warm all over. It spouts fire from the tips of its horns to intimidate predators and scare prey.
