Game,Flavor Text
black,"Restored from a fossil, this Pokémon can dive to depths beyond half a mile."
white,"About 100 million years ago, these Pokémon swam in oceans. It is thought they also went on land to attack prey."
black-2,This Pokémon was restored from a fossil. It swam skillfully and dove to depths beyond half a mile.
white-2,This Pokémon was restored from a fossil. It swam skillfully and dove to depths beyond half a mile.
x,"About 100 million years ago, these Pokémon swam in oceans. It is thought they also went on land to attack prey."
y,"Restored from a fossil, this Pokémon can dive to depths beyond half a mile."
omega-ruby,"About 100 million years ago, these Pokémon swam in oceans. It is thought they also went on land to attack prey."
alpha-sapphire,"Restored from a fossil, this Pokémon can dive to depths beyond half a mile."
sun,"Based on studies of its skeletal structure, it can apparently dive to ocean depths of over half a mile."
moon,"Reputed to be the ancestor of most turtle Pokémon, it lived in warm seas approximately a hundred million years ago."
ultra-sun,It was restored from an ancient fossil. Tirtouga lived in the sea but came up onto the land to search for prey.
ultra-moon,"Its hunting grounds encompassed a broad area, from the land to more than half a mile deep in the ocean."
sword,"This Pokémon inhabited ancient seas. Although it can only crawl, it still comes up onto land in search of prey."
shield,Tirtouga is considered to be the ancestor of many turtle Pokémon. It was restored to life from a fossil.
