Game,Flavor Text
ruby,"METAGROSS has four brains in total. Combined, the four brains can breeze through difficult calculations faster than a supercomputer. This POKéMON can float in the air by tucking in its four legs."
sapphire,"METAGROSS is the result of two METANG achieving fusion. When hunting, this POKéMON pins the prey to the ground under its massive body. It then eats the helpless victim using the large  mouth on its stomach."
emerald,"METAGROSS has four brains that are joined by a complex neural network. As a result of integration, this POKéMON is smarter than a supercomputer."
firered,It is formed by two METANG fusing. Its four brains are said to be superior to a supercomputer.
leafgreen,It is formed by two METANG fusing. Its four brains are said to be superior to a supercomputer.
diamond,"METANG combined to form it. With four brains, it has the intelligence of a supercomputer."
pearl,"METANG combined to form it. With four brains, it has the intelligence of a supercomputer."
platinum,"METANG combined to form it. With four brains, it has the intelligence of a supercomputer."
heartgold,It folds its four legs when flying. Its four brains are said to be superior to a supercomputer.
soulsilver,It folds its four legs when flying. Its four brains are said to be superior to a supercomputer.
black,"Metang combined to form it. With four brains, it has the intelligence of a supercomputer."
white,"Metang combined to form it. With four brains, it has the intelligence of a supercomputer."
black-2,"With four linked brains, it’s more intelligent than a supercomputer, and it uses calculations to analyze foes."
white-2,"With four linked brains, it’s more intelligent than a supercomputer, and it uses calculations to analyze foes."
x,"With four linked brains, it’s more intelligent than a supercomputer, and it uses calculations to analyze foes."
y,"Metang combined to form it. With four brains, it has the intelligence of a supercomputer."
omega-ruby,"Metagross has four brains in total. Combined, the four brains can breeze through difficult calculations faster than a supercomputer. This Pokémon can float in the air by tucking in its four legs."
alpha-sapphire,"Metagross is the result of two Metang achieving fusion. When hunting, this Pokémon pins the prey to the ground under its massive body. It then eats the helpless victim using the large mouth on its stomach."
sun,It firmly pins its prey using its four claws and large body. Then the teeth in the mouth on its stomach chew the prey to bits.
moon,"A linkage of two Metang, this Pokémon can perform any calculation in a flash by utilizing parallel processing in its four brains."
ultra-sun,It boasts not only psychic powers but also fantastic strength. It grabs its prey with its four legs and holds them in place with its claws.
ultra-moon,"It analyzes its opponents with more accuracy than a supercomputer, which enables it to calmly back them into a corner."
sword,"Because the magnetic powers of these Pokémon get stronger in freezing temperatures, Metagross living on snowy mountains are full of energy."
shield,Metagross is the result of the fusion of two Metang. This Pokémon defeats its opponents through use of its supercomputer-level brain.
