Game,Flavor Text
black,"They steal from people for fun, but their victims can’t help but forgive them. Their deceptively cute act is perfect."
white,"Its cute act is a ruse. When victims let down their guard, they find their items taken. It attacks with sharp claws."
black-2,Their cute act is a ruse. They trick people and steal their valuables just to see the looks on their faces.
white-2,Their cute act is a ruse. They trick people and steal their valuables just to see the looks on their faces.
x,"Its cute act is a ruse. When victims let down their guard, they find their items taken. It attacks with sharp claws."
y,"They steal from people for fun, but their victims can’t help but forgive them. Their deceptively cute act is perfect."
omega-ruby,"Its cute act is a ruse. When victims let down their guard, they find their items taken. It attacks with sharp claws."
alpha-sapphire,"They steal from people for fun, but their victims can’t help but forgive them. Their deceptively cute act is perfect."
sword,It steals things from people just to amuse itself with their frustration. A rivalry exists between this Pokémon and Nickit.
shield,Opponents that get drawn in by its adorable behavior come away with stinging scratches from its claws and stinging pride from its laughter.
