Game,Flavor Text
red,Drifts in shallow seas. Anglers who hook them by accident are often punished by its stinging acid.
blue,Drifts in shallow seas. Anglers who hook them by accident are often punished by its stinging acid.
yellow,It can sometimes be found all dry and shriveled up on a beach. Toss it back into the sea to revive it.
gold,"When the tide goes out, dehydrated TENTACOOL remains can be found washed up on the shore."
silver,"It drifts aimless­ ly in waves. Very difficult to see in water, it may not be noticed until it stings."
crystal,"As it floats along on the waves, it uses its toxic feelers to stab anything it touches."
ruby,"TENTACOOL’s body is largely composed of water. If it is removed from the sea, it dries up like parchment. If this POKéMON happens to become dehydrated, put it back into the sea."
sapphire,TENTACOOL absorbs sunlight and refracts it using water inside its body to convert it into beam energy. This POKéMON shoots beams from its crystal-like eyes.
emerald,"Its body is almost entirely composed of water. It ensnares its foe with its two long tentacles, then stabs with the poison stingers at their tips."
firered,"Its eyes are as transparent as crystals. From them, it shoots mysterious beams of light."
leafgreen,Drifts in shallow seas. Anglers who hook them by accident are often punished by their stingers.
diamond,Its body is virtually composed of water. It shoots strange beams from its crystal-like eyes.
pearl,It drifts in sea currents. Countless fishermen are hurt by its poison stingers.
platinum,"Because its body is almost entirely composed of water, it shrivels up if it is washed ashore."
heartgold,"When the tide goes out, dehydrated TENTACOOL remains can be found washed up on the shore."
soulsilver,"It drifts aimlessly in waves. Very difficult to see in water, it may not be noticed until it stings."
black,"Because its body is almost entirely composed of water, it shrivels up if it is washed ashore."
white,"Because its body is almost entirely composed of water, it shrivels up if it is washed ashore."
black-2,"Because its body is almost entirely composed of water, it shrivels up if it is washed ashore."
white-2,"Because its body is almost entirely composed of water, it shrivels up if it is washed ashore."
x,Its body is virtually composed of water. It shoots strange beams from its crystal-like eyes.
y,Drifts in shallow seas. Anglers who hook them by accident are often punished by their stingers.
omega-ruby,"Tentacool’s body is largely composed of water. If it is removed from the sea, it dries up like parchment. If this Pokémon happens to become dehydrated, put it back into the sea."
alpha-sapphire,Tentacool absorbs sunlight and refracts it using water inside its body to convert it into beam energy. This Pokémon shoots beams from the small round organ above its eyes.
sun,"They can be found lying dehydrated on beaches, but they are often still alive. When soaked in water, they will revive."
moon,"It drifts in shallow seas, such as the areas near beaches. If you get bitten or stabbed by its toxic tentacles, rush to the hospital."
ultra-sun,"It drifts through the sea searching for prey. Its poisonous tentacles break off sometimes, but after a while, they grow back."
ultra-moon,Its body is 99% water. The remaining 1% contains the organ that makes its poison.
lets-go-pikachu,It can sometimes be found all dry and shriveled up on a beach. Toss it back into the sea to revive it.
lets-go-eevee,It can sometimes be found all dry and shriveled up on a beach. Toss it back into the sea to revive it.
sword,Tentacool is not a particularly strong swimmer. It drifts across the surface of shallow seas as it searches for prey.
shield,"This Pokémon is mostly made of water. A Tentacool out in the ocean is very hard to spot, because its body blends in with the sea."
legends-arceus,"They fire beams from the glassy, magenta orbs that resemble eyes atop their heads, and they drift in shallow seas. During low tide, they can sometimes be found on beaches, desiccated."
