Game,Flavor Text
black,"When Reuniclus shake hands, a network forms between their brains, increasing their psychic power."
white,These remarkably intelligent Pokémon fight by controlling arms that can grip with rock-crushing power.
black-2,"They use psychic power to control their arms, which are made of a special liquid. They can crush boulders psychically."
white-2,"They use psychic power to control their arms, which are made of a special liquid. They can crush boulders psychically."
x,"They use psychic power to control their arms, which are made of a special liquid. They can crush boulders psychically."
y,"When Reuniclus shake hands, a network forms between their brains, increasing their psychic power."
omega-ruby,"They use psychic power to control their arms, which are made of a special liquid. They can crush boulders psychically."
alpha-sapphire,"When Reuniclus shake hands, a network forms between their brains, increasing their psychic power."
sword,"While it could use its psychic abilities in battle, this Pokémon prefers to swing its powerful arms around to beat opponents into submission."
shield,"It’s said that drinking the liquid surrounding Reuniclus grants wisdom. Problem is, the liquid is highly toxic to anything besides Reuniclus itself."
