Game,Flavor Text
black,"Each follows its Trainer’s orders as best it can, but they sometimes fail to understand complicated commands."
white,These Pokémon live in cities. They are accustomed to people. Flocks often gather in parks and plazas.
black-2,This very forgetful Pokémon will wait for a new order from its Trainer even though it already has one.
white-2,This very forgetful Pokémon will wait for a new order from its Trainer even though it already has one.
x,This very forgetful Pokémon will wait for a new order from its Trainer even though it already has one.
y,These Pokémon live in cities. They are accustomed to people. Flocks often gather in parks and plazas.
omega-ruby,This very forgetful Pokémon will wait for a new order from its Trainer even though it already has one.
alpha-sapphire,These Pokémon live in cities. They are accustomed to people. Flocks often gather in parks and plazas.
sword,"Where people go, these Pokémon follow. If you’re scattering food for them, be careful— several hundred of them can gather at once."
shield,"It’s forgetful and not very bright, but many Trainers love it anyway for its friendliness and sincerity."
