Game,Flavor Text
red,Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.
blue,Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.
yellow,"When expelling a blast of super hot fire, the red flame at the tip of its tail burns more intensely."
gold,"If CHARIZARD be­ comes furious, the flame at the tip of its tail flares up in a whitish- blue color."
silver,"Breathing intense, hot flames, it can melt almost any­ thing. Its breath inflicts terrible pain on enemies."
crystal,It uses its wings to fly high. The temperature of its fire increases as it gains exper­ ience in battle.
ruby,"CHARIZARD flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself."
sapphire,"CHARIZARD flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself."
emerald,"A CHARIZARD flies about in search of strong opponents. It breathes intense flames that can melt any material. However, it will never torch a weaker foe."
firered,"Its wings can carry this POKéMON close to an altitude of 4,600 feet. It blows out fire at very high temperatures."
leafgreen,It spits fire that is hot enough to melt boulders. It may cause forest fires by blowing flames.
diamond,It is said that CHARIZARD’s fire burns hotter if it has experienced harsh battles.
pearl,It is said that CHARIZARD’s fire burns hotter if it has experienced harsh battles.
platinum,It is said that CHARIZARD’s fire burns hotter if it has experienced harsh battles.
heartgold,"If CHARIZARD becomes furious, the flame at the tip of its tail flares up in a light blue shade."
soulsilver,"Breathing intense, hot flames, it can melt almost anything. Its breath inflicts terrible pain on enemies."
black,It is said that Charizard’s fire burns hotter if it has experienced harsh battles.
white,It is said that Charizard’s fire burns hotter if it has experienced harsh battles.
black-2,It is said that Charizard’s fire burns hotter if it has experienced harsh battles.
white-2,It is said that Charizard’s fire burns hotter if it has experienced harsh battles.
x,"When expelling a blast of superhot fire, the red flame at the tip of its tail burns more intensely."
y,"Its wings can carry this Pokémon close to an altitude of 4,600 feet. It blows out fire at very high temperatures."
omega-ruby,"Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself."
alpha-sapphire,"Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself."
lets-go-pikachu,"When this Pokémon expels a blast of superhot fire, the red flame at the tip of its tail burns more intensely."
lets-go-eevee,"When this Pokémon expels a blast of superhot fire, the red flame at the tip of its tail burns more intensely."
sword,It spits fire that is hot enough to melt boulders. It may cause forest fires by blowing flames.
shield,"Its wings can carry this Pokémon close to an altitude of 4,600 feet. It blows out fire at very high temperatures."
