Game,Flavor Text
ruby,SEVIPER shares a generations-long feud with ZANGOOSE. The scars on its body are evidence of vicious battles. This POKéMON attacks using its sword- edged tail.
sapphire,SEVIPER’s swordlike tail serves two purposes - it slashes foes and douses them with secreted poison. This POKéMON will not give up its long- running blood feud with ZANGOOSE.
emerald,"SEVIPER and ZANGOOSE are eternal rivals. It counters a ZANGOOSE’s dazzling agility with its swordlike tail, which also oozes a horrible poison."
firered,It sharpens its swordlike tail on hard rocks. It hides in tall grass and strikes unwary prey with venomous fangs.
leafgreen,It sharpens its swordlike tail on hard rocks. It hides in tall grass and strikes unwary prey with venomous fangs.
diamond,"For many generations, it has feuded with ZANGOOSE. It whets its bladed tail on rocks for battle."
pearl,"For many generations, it has feuded with ZANGOOSE. It whets its bladed tail on rocks for battle."
platinum,"For many generations, it has feuded with ZANGOOSE. It whets its bladed tail on rocks for battle."
heartgold,"In battle, it uses its bladed tail to counter any ZANGOOSE. It secretes a deadly venom in its tail."
soulsilver,"In battle, it uses its bladed tail to counter any ZANGOOSE. It secretes a deadly venom in its tail."
black,"For many generations, it has feuded with Zangoose. It whets its bladed tail on rocks for battle."
white,"For many generations, it has feuded with Zangoose. It whets its bladed tail on rocks for battle."
black-2,Constant polishing makes the edge of the blade on its tail extremely sharp. It’s Zangoose’s archrival.
white-2,Constant polishing makes the edge of the blade on its tail extremely sharp. It’s Zangoose’s archrival.
x,"In battle, it uses its bladed tail to counter any Zangoose. It secretes a deadly venom in its tail."
y,Constant polishing makes the edge of the blade on its tail extremely sharp. It’s Zangoose’s archrival.
omega-ruby,Seviper shares a generations-long feud with Zangoose. The scars on its body are evidence of vicious battles. This Pokémon attacks using its sword-edged tail.
alpha-sapphire,Seviper’s swordlike tail serves two purposes—it slashes foes and douses them with secreted poison. This Pokémon will not give up its long-running blood feud with Zangoose.
