Game,Flavor Text
red,"In the distant past, it was somewhat stronger than the horribly weak descendants that exist today."
blue,"In the distant past, it was somewhat stronger than the horribly weak descendants that exist today."
yellow,"Famous for being very unreliable. It can be found swimming in seas, lakes, rivers and shallow puddles."
gold,"An underpowered, pathetic POKéMON. It may jump high on rare occasions, but never more than seven feet."
silver,"For no reason, it jumps and splashes about, making it easy for predators like PIDGEOTTO to catch it mid-jump."
crystal,This weak and pathetic POKéMON gets easily pushed along rivers when there are strong currents.
ruby,MAGIKARP is a pathetic excuse for a POKéMON that is only capable of flopping and splashing. This behavior prompted scientists to undertake research into it.
sapphire,"MAGIKARP is virtually useless in battle as it can only splash around. As a result, it is considered to be weak. However, it is actually a very hardy POKéMON that can survive in any body of water no matter how polluted it is."
emerald,"Its swimming muscles are weak, so it is easily washed away by currents. In places where water pools, you can see many MAGIKARP deposited there by the flow."
firered,It is virtually worthless in terms of both power and speed. It is the most weak and pathetic POKéMON in the world.
leafgreen,"In the distant past, it was somewhat stronger than the horribly weak descendants that exist today."
diamond,It is said to be the world’s weakest Pokémon. No one knows why it has managed to survive.
pearl,It is unable to swim against even slow-moving currents. It always splashes about for some reason.
platinum,"A MAGIKARP living for many years can leap a mountain using Splash. The move remains useless, though."
heartgold,"An underpowered, pathetic Pokémon. It may jump high on rare occasions, but usually not more than seven feet."
soulsilver,"For no reason, it jumps and splashes about, making it easy for predators like PIDGEOTTO to catch it mid-jump."
black,"A Magikarp living for many years can leap a mountain using Splash. The move remains useless, though."
white,"A Magikarp living for many years can leap a mountain using Splash. The move remains useless, though."
black-2,"A Magikarp living for many years can leap a mountain using Splash. The move remains useless, though."
white-2,"A Magikarp living for many years can leap a mountain using Splash. The move remains useless, though."
x,It is virtually worthless in terms of both power and speed. It is the most weak and pathetic Pokémon in the world.
y,"In the distant past, it was somewhat stronger than the horribly weak descendants that exist today."
omega-ruby,Magikarp is a pathetic excuse for a Pokémon that is only capable of flopping and splashing. This behavior prompted scientists to undertake research into it.
alpha-sapphire,"Magikarp is virtually useless in battle as it can only splash around. As a result, it is considered to be weak. However, it is actually a very hardy Pokémon that can survive in any body of water no matter how polluted it is."
sun,"Although weak and helpless, this Pokémon is incredibly fertile. They exist in such multitudes, you’ll soon grow tired of seeing them."
moon,"Its reckless leaps make it easy pickings for predators. On the bright side, many Pokémon enjoy longer life spans, thanks to Magikarp."
ultra-sun,"In the distant past, they were fairly strong, but they have become gradually weaker over time."
ultra-moon,"Thanks to their strong hold on life, dirty water doesn’t bother them at all. They live in waters all over the world!"
lets-go-pikachu,"Famous for being very unreliable. It can be found swimming in seas, lakes, rivers, and shallow puddles."
lets-go-eevee,"Famous for being very unreliable. It can be found swimming in seas, lakes, rivers, and shallow puddles."
sword,It is virtually worthless in terms of both power and speed. It is the most weak and pathetic Pokémon in the world.
shield,This weak and pathetic Pokémon gets easily pushed along rivers when there are strong currents.
legends-arceus,"A feeble, pitiful imbecile of a Pokémon that is nonetheless very hardy. Unperturbed by turbid water, it can be found living in all sorts of places."
