Game,Flavor Text
y,"It searches about for clean water. If it does not drink water for too long, the leaf on its head wilts."
ruby,"LOTAD live in ponds and lakes, where they float on the surface. It grows weak if its broad leaf dies. On rare occasions, this POKéMON travels on land in search of clean water."
sapphire,"LOTAD is said to have dwelled on land before. However, this POKéMON is thought to have returned to water because the leaf on its head grew large and heavy. It now lives by floating atop the water."
emerald,This POKéMON lives in ponds with clean water. It is known to ferry small POKéMON across ponds by carrying them on the broad leaf on its head.
firered,"It searches about for clean water. If it does not drink water for too long, the leaf on its head wilts."
leafgreen,"It searches about for clean water. If it does not drink water for too long, the leaf on its head wilts."
diamond,It looks like an aquatic plant and serves as a ferry to Pokémon that can’t swim.
pearl,It looks like an aquatic plant and serves as a ferry to Pokémon that can’t swim.
platinum,It looks like an aquatic plant and serves as a ferry to Pokémon that can’t swim.
heartgold,Its leaf grew too large for it to live on land. That is how it began to live floating in the water.
soulsilver,Its leaf grew too large for it to live on land. That is how it began to live floating in the water.
black,It looks like an aquatic plant and serves as a ferry to Pokémon that can’t swim.
white,It looks like an aquatic plant and serves as a ferry to Pokémon that can’t swim.
black-2,It looks like an aquatic plant and serves as a ferry to Pokémon that can’t swim.
white-2,It looks like an aquatic plant and serves as a ferry to Pokémon that can’t swim.
x,It looks like an aquatic plant and serves as a ferry to Pokémon that can’t swim.
omega-ruby,"Lotad live in ponds and lakes, where they float on the surface. It grows weak if its broad leaf dies. On rare occasions, this Pokémon travels on land in search of clean water."
alpha-sapphire,"Lotad is said to have dwelled on land before. However, this Pokémon is thought to have returned to water because the leaf on its head grew large and heavy. It now lives by floating atop the water."
sword,"It searches about for clean water. If it does not drink water for too long, the leaf on its head wilts."
shield,Its leaf grew too large for it to live on land. That is how it began to live floating in the water.
