Game,Flavor Text
gold,"As a result of storing too much electricity, it developed patches where even downy wool won't grow."
silver,Its fluffy fleece easily stores electricity. Its rubbery hide keeps it from being electrocuted.
crystal,"Because of its rubbery, electric­ ity-resistant skin, it can store lots of electric­ ity in its fur."
ruby,FLAAFFY’s wool quality changes so that it can generate a high amount of static electricity with a small amount of wool. The bare and slick parts of its hide are shielded against electricity.
sapphire,FLAAFFY’s wool quality changes so that it can generate a high amount of static electricity with a small amount of wool. The bare and slick parts of its hide are shielded against electricity.
emerald,"Its fleece quality changes to generate strong static electricity with a small amount of wool. The bare, slick parts of its hide are shielded against electricity."
firered,Its fluffy fleece easily stores electricity. Its rubbery hide keeps it from being electrocuted.
leafgreen,"As a result of storing too much electricity, it developed patches where even downy wool won’t grow."
diamond,"If its coat becomes fully charged with electricity, its tail lights up. It fires hair that zaps on impact."
pearl,"If its coat becomes fully charged with electricity, its tail lights up. It fires hair that zaps on impact."
platinum,"If its coat becomes fully charged with electricity, its tail lights up. It fires hair that zaps on impact."
heartgold,"As a result of storing too much electricity, it developed patches where even downy wool won’t grow."
soulsilver,Its fluffy fleece easily stores electricity. Its rubbery hide keeps it from being electrocuted.
black,"If its coat becomes fully charged with electricity, its tail lights up. It fires hair that zaps on impact."
white,"If its coat becomes fully charged with electricity, its tail lights up. It fires hair that zaps on impact."
black-2,"Not even downy wool will grow on its rubbery, nonconductive patches of skin that prevent electrical shock."
white-2,"Not even downy wool will grow on its rubbery, nonconductive patches of skin that prevent electrical shock."
x,Its fluffy fleece easily stores electricity. Its rubbery hide keeps it from being electrocuted.
y,"If its coat becomes fully charged with electricity, its tail lights up. It fires hair that zaps on impact."
omega-ruby,Flaaffy’s wool quality changes so that it can generate a high amount of static electricity with a small amount of wool. The bare and slick parts of its hide are shielded against electricity.
alpha-sapphire,Flaaffy’s wool quality changes so that it can generate a high amount of static electricity with a small amount of wool. The bare and slick parts of its hide are shielded against electricity.
ultra-sun,"In the places on its body where fleece doesn’t grow, its skin is rubbery and doesn’t conduct electricity. Those spots are safe to touch."
ultra-moon,"It stores electricity in its fluffy fleece. If it stores up too much, it will start to go bald in those patches."
