Game,Flavor Text
ruby,"BARBOACH’s sensitive whiskers serve as a superb radar system. This POKéMON hides in mud, leaving only its two whiskers exposed while it waits for prey to come along."
sapphire,"BARBOACH’s body is covered with a slimy film. If a foe grabs it, this POKéMON just slips out of the enemy’s grip. This POKéMON grows weak if the slimy coating dries up."
emerald,Its body is covered with a slimy film. The film acts as a barrier to prevent germs in muddy water from entering the BARBOACH’s body.
firered,It probes muddy riverbeds with its two long whiskers. A slimy film protects its body.
leafgreen,It probes muddy riverbeds with its two long whiskers. A slimy film protects its body.
diamond,It coats its entire body with a slimy fluid so it can squirm and slip away if grabbed.
pearl,"Its whiskers make a superb radar. They are used to locate prey, even in the murkiest of water."
platinum,"Its slimy body is hard to grasp. In one region, it is said to have been born from hardened mud."
heartgold,BARBOACH uses its whiskers to taste things just as a person uses his or her tongue to taste things.
soulsilver,BARBOACH uses its whiskers to taste things just as a person uses his or her tongue to taste things.
black,"Its slimy body is hard to grasp. In one region, it is said to have been born from hardened mud."
white,"Its slimy body is hard to grasp. In one region, it is said to have been born from hardened mud."
black-2,"Its slimy body is hard to grasp. In one region, it is said to have been born from hardened mud."
white-2,"Its slimy body is hard to grasp. In one region, it is said to have been born from hardened mud."
x,It coats its entire body with a slimy fluid so it can squirm and slip away if grabbed.
y,"Its whiskers make a superb radar. They are used to locate prey, even in the murkiest of water."
omega-ruby,"Barboach’s sensitive whiskers serve as a superb radar system. This Pokémon hides in mud, leaving only its two whiskers exposed while it waits for prey to come along."
alpha-sapphire,"Barboach’s body is covered with a slimy film. If a foe grabs it, this Pokémon just slips out of the enemy’s grip. This Pokémon grows weak if the slimy coating dries up."
sun,"Its two whiskers provide a sensitive radar. Even in muddy waters, it can detect its prey’s location."
moon,"Its slippery body is hard to grasp, so much so that there are festivals where people compete to see how many they can catch barehanded."
ultra-sun,"Its entire body is gooey. When pecked at by bird Pokémon, it slips and slides its way to freedom."
ultra-moon,Its whiskers are filled with nerves. They can sense smells and flavors just as a person’s nose or tongue would.
sword,"Its slimy body is hard to grasp. In one region, it is said to have been born from hardened mud."
shield,It probes muddy riverbeds with its two long whiskers. A slimy film protects its body.
legends-arceus,"Makes its home in swamps with murky water. The poor visibility hides this Pokémon from predators, and the slime on its body makes grasping it difficult."
