Game,Flavor Text
diamond,The antenna on its head captures radio waves from the world of spirits that command it to take people there.
pearl,The antenna on its head captures radio waves from the world of spirits that command it to take people there.
platinum,It is said to take lost spirits into its pliant body and guide them home.
heartgold,This feared Pokémon is said to travel to worlds unknown. Some even believe that it takes lost spirits along with it.
soulsilver,This feared Pokémon is said to travel to worlds unknown. Some even believe that it takes lost spirits along with it.
black,It is said to take lost spirits into its pliant body and guide them home.
white,It is said to take lost spirits into its pliant body and guide them home.
black-2,It is said to take lost spirits into its pliant body and guide them home.
white-2,It is said to take lost spirits into its pliant body and guide them home.
x,It is said to take lost spirits into its pliant body and guide them home.
y,The antenna on its head captures radio waves from the world of spirits that command it to take people there.
omega-ruby,It is said to take lost spirits into its pliant body and guide them home.
alpha-sapphire,The antenna on its head captures radio waves from the world of spirits that command it to take people there.
sword,"At the bidding of transmissions from the spirit world, it steals people and Pokémon away. No one knows whether it has a will of its own."
shield,"With the mouth on its belly, Dusknoir swallows its target whole. The soul is the only thing eaten— Dusknoir disgorges the body before departing."
legends-arceus,"Comes to those whose lives have come to an end and escorts their souls to the afterlife. Known to mistakenly take the souls of those who yet have life left in them, albeit rarely."
