Game,Flavor Text
ruby,"To make prey faint, VIBRAVA generates ultrasonic waves by vigorously making its two wings vibrate. This POKéMON’s ultrasonic waves are so powerful, they can bring on headaches in people."
sapphire,"VIBRAVA’s wings have not yet completed the process of growing. Rather than flying long distances, they are more useful for generating ultrasonic waves by vibrating."
emerald,"It looses ultrasonic waves by rubbing its wings together. Since a VIBRAVA’s wings are still in the process of growing, it can only fly short distances."
firered,"It generates ultrasonic waves by violently flapping its wings. After making its prey faint, it melts the prey with acid."
leafgreen,"It generates ultrasonic waves by violently flapping its wings. After making its prey faint, it melts the prey with acid."
diamond,"It violently shudders its wings, generating ultrasonic waves to induce headaches in people."
pearl,"It violently shudders its wings, generating ultrasonic waves to induce headaches in people."
platinum,"It violently shudders its wings, generating ultrasonic waves to induce headaches in people."
heartgold,"It vibrates its wings vigorously, creating ultrasonic waves that cause serious headaches."
soulsilver,"It vibrates its wings vigorously, creating ultrasonic waves that cause serious headaches."
black,"It violently shudders its wings, generating ultrasonic waves to induce headaches in people."
white,"It violently shudders its wings, generating ultrasonic waves to induce headaches in people."
black-2,The ultrasonic waves it generates by rubbing its two wings together cause severe headaches.
white-2,The ultrasonic waves it generates by rubbing its two wings together cause severe headaches.
x,The ultrasonic waves it generates by rubbing its two wings together cause severe headaches.
y,"It generates ultrasonic waves by violently flapping its wings. After making its prey faint, it melts the prey with acid."
omega-ruby,"To make prey faint, Vibrava generates ultrasonic waves by vigorously making its two wings vibrate. This Pokémon’s ultrasonic waves are so powerful, they can bring on headaches in people."
alpha-sapphire,"Vibrava’s wings have not yet completed the process of growing. Rather than flying long distances, they are more useful for generating ultrasonic waves by vibrating."
sun,"Rather than using its underdeveloped wings for flight, it rubs them together, producing ultrasonic waves to attack its enemies."
moon,"To help make its wings grow, it dissolves quantities of prey in its digestive juices and guzzles them down every day."
ultra-sun,"It vibrates its wings to generate ultrasonic waves, causing its prey to faint. Then it buries the prey alive in the sand to preserve it."
ultra-moon,It vibrates its wings to send out odd sound waves. Trainers who are with it need earplugs.
sword,The ultrasonic waves it generates by rubbing its two wings together cause severe headaches.
shield,"To help make its wings grow, it dissolves quantities of prey in its digestive juices and guzzles them down every day."
