Game,Flavor Text
red,A team of DIGLETT triplets. It triggers huge earthquakes by burrowing 60 miles underground.
blue,A team of DIGLETT triplets. It triggers huge earthquakes by burrowing 60 miles underground.
yellow,"A team of triplets that can burrow over 60 MPH. Due to this, some people think it's an earthquake."
gold,"Its three heads bob separately up and down to loosen the soil nearby, making it easier for it to burrow."
silver,"Extremely power­ ful, they can DIG through even the hardest ground to a depth of over 60 miles."
crystal,These DIGLETT triplets dig over 60 miles below sea level. No one knows what it's like underground.
ruby,"DUGTRIO are actually triplets that emerged from one body. As a result, each triplet thinks exactly like the other two triplets. They work cooperatively to burrow endlessly."
sapphire,"DUGTRIO are actually triplets that emerged from one body. As a result, each triplet thinks exactly like the other two triplets. They work cooperatively to burrow endlessly."
emerald,"Because the triplets originally split from one body, they think exactly alike. They work cooperatively to burrow endlessly through the ground."
firered,"In battle, it digs through the ground and strikes the unsuspecting foe from an unexpected direction."
leafgreen,A team of DIGLETT triplets. It triggers huge earthquakes by burrowing 60 miles underground.
diamond,"Its three heads move alternately, driving it through tough soil to depths of over 60 miles."
pearl,"Its three heads move alternately, driving it through tough soil to depths of over 60 miles."
platinum,"Its three heads move alternately, driving it through tough soil to depths of over 60 miles."
heartgold,"Its three heads bob separately up and down to loosen the soil nearby, making it easier for it to burrow."
soulsilver,"Extremely powerful, they can dig through even the hardest ground to a depth of over 60 miles."
black,"Its three heads move alternately, driving it through tough soil to depths of over 60 miles."
white,"Its three heads move alternately, driving it through tough soil to depths of over 60 miles."
black-2,"Its three heads move alternately, driving it through tough soil to depths of over 60 miles."
white-2,"Its three heads move alternately, driving it through tough soil to depths of over 60 miles."
x,"In battle, it digs through the ground and strikes the unsuspecting foe from an unexpected direction."
y,"Extremely powerful, they can dig through even the hardest ground to a depth of over 60 miles."
omega-ruby,"Dugtrio are actually triplets that emerged from one body. As a result, each triplet thinks exactly like the other two triplets. They work cooperatively to burrow endlessly."
alpha-sapphire,"Dugtrio are actually triplets that emerged from one body. As a result, each triplet thinks exactly like the other two triplets. They work cooperatively to burrow endlessly."
sun,This set of triplets moves cooperatively. It’s the power of teamwork that enables this Pokémon to dig to a depth of 60 miles.
moon,"Despite the closeness between this Pokémon and farmers and other people, no one has ever seen the parts of it concealed underground."
ultra-sun,"While the three of them normally get along splendidly, on rare occasions a huge fight will break out over which head gets to eat first."
ultra-moon,Dugtrio’s heads are sleek and smooth and incredibly hard. It can dig through any soil with its headbutts.
lets-go-pikachu,A team of triplets that can burrow to a depth of 60 miles. It’s reported that this triggers an earthquake.
lets-go-eevee,A team of triplets that can burrow to a depth of 60 miles. It’s reported that this triggers an earthquake.
sword,A team of Diglett triplets. It triggers huge earthquakes by burrowing 60 miles underground.
shield,These Diglett triplets dig over 60 miles below sea level. No one knows what it’s like underground.
