Game,Flavor Text
diamond,"It wolfs down its weight in food once a day, swallowing food whole with almost no chewing."
pearl,"It hides food under its long body hair. However, it forgets it has hidden the food."
platinum,"In its desperation to gulp down food, it forgets about the food it has hidden under its fur."
heartgold,It conceals food under the long fur on its body. It carts around this food stash and swallows it without chewing.
soulsilver,It conceals food under the long fur on its body. It carts around this food stash and swallows it without chewing.
black,"In its desperation to gulp down food, it forgets about the food it has hidden under its fur."
white,"In its desperation to gulp down food, it forgets about the food it has hidden under its fur."
black-2,"In its desperation to gulp down food, it forgets about the food it has hidden under its fur."
white-2,"In its desperation to gulp down food, it forgets about the food it has hidden under its fur."
x,"It hides food under its long body hair. However, it forgets it has hidden the food."
y,It conceals food under the long fur on its body. It carts around this food stash and swallows it without chewing.
omega-ruby,"It hides food under its long body hair. However, it forgets it has hidden the food."
alpha-sapphire,It conceals food under the long fur on its body. It carts around this food stash and swallows it without chewing.
sun,"It needs to consume its own weight in food every day. As far as flavor is concerned, it’s indifferent."
moon,"When it finds something that looks like it might be edible, it goes right ahead and swallows it whole. That’s why it gets fatter day by day."
ultra-sun,"It hides food under its long fur, but it sometimes forgets about it and causes a stinky disturbance."
ultra-moon,"Anything that looks edible, Munchlax will go on and swallow whole. Its stomach is tough enough to handle it even if the food has gone rotten."
sword,"Stuffing itself with vast amounts of food is its only concern. Whether the food is rotten or fresh, yummy or tasteless—it does not care."
shield,"It stores food beneath its fur. It might share just one bite, but only if it really trusts you."
legends-arceus,"Its robust stomach allows it to nonchalantly devour even rotted matter. It pays frequent visits to villages, seeking out food scraps intended for compost."
