Game,Flavor Text
diamond,"Over the winter, it closes its bud and endures the cold. In spring, the bud opens and releases pollen."
pearl,It lives alongside clear ponds. It scatters pollen that induces harsh sneezing and runny noses.
platinum,"Sensitive to changing temperature, the bud is said to bloom when it feels the sun’s warm touch."
heartgold,"When it feels the sun’s warm touch, it opens its bud to release pollen. It lives alongside clear pools."
soulsilver,"When it feels the sun’s warm touch, it opens its bud to release pollen. It lives alongside clear pools."
black,"Sensitive to changing temperature, the bud is said to bloom when it feels the sun’s warm touch."
white,"Sensitive to changing temperature, the bud is said to bloom when it feels the sun’s warm touch."
black-2,"Sensitive to changing temperatures, the bud blooms when it’s warm, releasing toxic pollen."
white-2,"Sensitive to changing temperatures, the bud blooms when it’s warm, releasing toxic pollen."
x,"When it feels the sun’s warm touch, it opens its bud to release pollen. It lives alongside clear pools."
y,"Over the winter, it closes its bud and endures the cold. In spring, the bud opens and releases pollen."
omega-ruby,"When it feels the sun’s warm touch, it opens its bud to release pollen. It lives alongside clear pools."
alpha-sapphire,"Over the winter, it closes its bud and endures the cold. In spring, the bud opens and releases pollen."
sword,"The pollen it releases contains poison. If this Pokémon is raised on clean water, the poison’s toxicity is increased."
shield,"This Pokémon is highly sensitive to temperature changes. When its bud starts to open, that means spring is right around the corner."
legends-arceus,"When the sun's light strengthens, the bud atop this Pokémon's head opens. This is a sign to the people that the harsh winter is over, and the season of budding has begun."
