Game,Flavor Text
red,Appears in filthy areas. Thrives by sucking up polluted sludge that is pumped out of factories.
blue,Appears in filthy areas. Thrives by sucking up polluted sludge that is pumped out of factories.
yellow,Made of hardened sludge. It smells too putrid to touch. Even weeds won't grow in its path.
gold,"As it moves, it loses bits of its body from which new GRIMER emerge. This worsens the stench around it."
silver,"Wherever GRIMER has passed, so many germs are left behind that no plants will ever grow again."
crystal,"When two of these POKéMON's bodies are combined together, new poisons are created."
ruby,"GRIMER’s sludgy and rubbery body can be forced through any opening, however small it may be. This POKéMON enters sewer pipes to drink filthy wastewater."
sapphire,GRIMER emerged from the sludge that settled on a polluted seabed. This POKéMON loves anything filthy. It constantly leaks a horribly germ- infested fluid from all over its body.
emerald,"Born from polluted sludge in the sea, GRIMER’s favorite food is anything filthy. They feed on wastewater pumped out from factories."
firered,Sludge exposed to X rays from the moon transformed into GRIMER. It loves feeding on filthy things.
leafgreen,Appears in filthy areas. It thrives by sucking up polluted sludge that is pumped out of factories.
diamond,It was born when sludge in a dirty stream was exposed to the moon’s X-rays. It appears among filth.
pearl,It was born when sludge in a dirty stream was exposed to the moon’s X-rays. It appears among filth.
platinum,It was born when sludge in a dirty stream was exposed to the moon’s X-rays. It appears among filth.
heartgold,"As it moves, it loses bits of its body, from which new GRIMER emerge. This worsens the stench around it."
soulsilver,"Wherever GRIMER has passed, so many germs are left behind that no plants will ever grow again."
black,It was born when sludge in a dirty stream was exposed to the moon’s X-rays. It appears among filth.
white,It was born when sludge in a dirty stream was exposed to the moon’s X-rays. It appears among filth.
black-2,"Born from sludge, these Pokémon now gather in polluted places and increase the bacteria in their bodies."
white-2,"Born from sludge, these Pokémon now gather in polluted places and increase the bacteria in their bodies."
x,Sludge exposed to X-rays from the moon transformed into Grimer. It loves feeding on filthy things.
y,Appears in filthy areas. It thrives by sucking up polluted sludge that is pumped out of factories.
omega-ruby,"Grimer’s sludgy and rubbery body can be forced through any opening, however small it may be. This Pokémon enters sewer pipes to drink filthy wastewater."
alpha-sapphire,Grimer emerged from the sludge that settled on a polluted seabed. This Pokémon loves anything filthy. It constantly leaks a horribly germ-infested fluid from all over its body.
sun,Its main source of food is the slimy industrial waste of factories. This Pokémon’s numbers have been decreasing in recent years.
moon,"It was born from sludge transformed by exposure to X-rays from the moon. When its internal load of germs decreases, it dies."
ultra-sun,"It was born from sludge on the ocean floor. In a sterile environment, the germs within its body can’t multiply, and it dies."
ultra-moon,"The wastewater coming from factories is clean these days, so Grimer have nothing to eat. They’re said to be on the verge of extinction."
lets-go-pikachu,Made of congealed sludge. It smells too putrid to touch. Even weeds won’t grow in its path.
lets-go-eevee,Made of congealed sludge. It smells too putrid to touch. Even weeds won’t grow in its path.
