Game,Flavor Text
diamond,It crosses its knifelike arms in front of its chest when it cries. It can compose melodies ad lib.
pearl,It signals its emotions with its melodies. Scientists are studying these melodic patterns.
platinum,There is a village that hosts a contest based on the amazingly variable cries of this Pokémon.
heartgold,"By allowing its cry to resonate in the hollow of its belly, it produces a captivating sound."
soulsilver,"By allowing its cry to resonate in the hollow of its belly, it produces a captivating sound."
black,There is a village that hosts a contest based on the amazingly variable cries of this Pokémon.
white,There is a village that hosts a contest based on the amazingly variable cries of this Pokémon.
black-2,There is a village that hosts a contest based on the amazingly variable cries of this Pokémon.
white-2,There is a village that hosts a contest based on the amazingly variable cries of this Pokémon.
x,It crosses its knifelike arms in front of its chest when it cries. It can compose melodies ad lib.
y,It signals its emotions with its melodies. Scientists are studying these melodic patterns.
omega-ruby,It crosses its knifelike arms in front of its chest when it cries. It can compose melodies ad lib.
alpha-sapphire,It signals its emotions with its melodies. Scientists are studying these melodic patterns.
legends-arceus,"It uses its cutlass-like arms to produce sound, the melody of which varies from individual to individual. It is a worthwhile endeavor to seek out one's favorite tunes."
