Game,Flavor Text
black,"Since they have two divided brains, at times they suddenly try to take two different actions at once."
white,"When their brains, now divided in two, are thinking the same thoughts, these Pokémon exhibit their maximum power."
black-2,"When their two divided brains think the same thoughts, their psychic power is maximized."
white-2,"When their two divided brains think the same thoughts, their psychic power is maximized."
x,"Since they have two divided brains, at times they suddenly try to take two different actions at once."
y,"When their two divided brains think the same thoughts, their psychic power is maximized."
omega-ruby,"Since they have two divided brains, at times they suddenly try to take two different actions at once."
alpha-sapphire,"When their two divided brains think the same thoughts, their psychic power is maximized."
sword,Its psychic power can supposedly cover a range of more than half a mile—but only if its two brains can agree with each other.
shield,"Its brain has split into two, and the two halves rarely think alike. Its actions are utterly unpredictable."
