Game,Flavor Text
ruby,"GARDEVOIR has the ability to read the future. If it senses impending danger to its TRAINER, this POKéMON is said to unleash its psychokinetic energy at full power."
sapphire,GARDEVOIR has the psychokinetic power to distort the dimensions and create a small black hole. This POKéMON will try to protect its TRAINER even at the risk of its own life.
emerald,It apparently does not feel the pull of gravity because it supports itself with psychic power. It will give its life to protect its TRAINER.
firered,It has the power to predict the future. Its power peaks when it is protecting its TRAINER.
leafgreen,It has the power to predict the future. Its power peaks when it is protecting its TRAINER.
diamond,It will try to guard its trusted Trainer with its life. It has the ability to see the future.
pearl,It will try to guard its trusted Trainer with its life. It has the ability to see the future.
platinum,"To protect its Trainer, it will expend all its psychic power to create a small black hole."
heartgold,It unleashes psychokinetic energy at full power when protecting a Trainer it has bonded closely with.
soulsilver,It unleashes psychokinetic energy at full power when protecting a Trainer it has bonded closely with.
black,"To protect its Trainer, it will expend all its psychic power to create a small black hole."
white,"To protect its Trainer, it will expend all its psychic power to create a small black hole."
black-2,"To protect its Trainer, it will expend all its psychic power to create a small black hole."
white-2,"To protect its Trainer, it will expend all its psychic power to create a small black hole."
x,"To protect its Trainer, it will expend all its psychic power to create a small black hole."
y,It has the power to predict the future. Its power peaks when it is protecting its Trainer.
omega-ruby,"Gardevoir has the ability to read the future. If it senses impending danger to its Trainer, this Pokémon is said to unleash its psychokinetic energy at full power."
alpha-sapphire,Gardevoir has the psychokinetic power to distort the dimensions and create a small black hole. This Pokémon will try to protect its Trainer even at the risk of its own life.
sword,It has the power to predict the future. Its power peaks when it is protecting its Trainer.
shield,"To protect its Trainer, it will expend all its psychic power to create a small black hole."
legends-arceus,"It will dedicate itself to defending a master it has come to adore. Its pure white dress, reminiscent of those worn by ladies of nobility, is the dress of one who is willing to risk their life."
