Game,Flavor Text
black,"They attack in groups, covering themselves in steel armor to protect themselves from Heatmor."
white,"Durant dig nests in mountains. They build their complicated, interconnected tunnels into mazes."
black-2,"Individuals each play different roles in driving Heatmor, their natural predator, away from their colony."
white-2,"Individuals each play different roles in driving Heatmor, their natural predator, away from their colony."
x,"Individuals each play different roles in driving Heatmor, their natural predator, away from their colony."
y,"They attack in groups, covering themselves in steel armor to protect themselves from Heatmor."
omega-ruby,"Individuals each play different roles in driving Heatmor, their natural predator, away from their colony."
alpha-sapphire,"They attack in groups, covering themselves in steel armor to protect themselves from Heatmor."
sword,"They lay their eggs deep inside their nests. When attacked by Heatmor, they retaliate using their massive mandibles."
shield,"With their large mandibles, these Pokémon can crunch their way through rock. They work together to protect their eggs from Sandaconda."
