Game,Flavor Text
gold,"It feeds on soil. After it has eaten a large mountain, it will fall asleep so it can grow."
silver,It is born deep underground. It can't emerge until it has entirely consumed the soil around it.
crystal,"Born deep under­ ground, this POKéMON becomes a pupa after eating enough dirt to make a mountain."
ruby,"LARVITAR is born deep under the ground. To come up to the surface, this POKéMON must eat its way through the soil above. Until it does so, LARVITAR cannot see its parent’s face."
sapphire,"LARVITAR is born deep under the ground. To come up to the surface, this POKéMON must eat its way through the soil above. Until it does so, LARVITAR cannot see its parent’s face."
emerald,A LARVITAR is born deep under the ground. It must eat its way through the soil above and reach the surface for it to see its parents’ faces.
firered,It is born deep underground. It can’t emerge until it has entirely consumed the soil around it.
leafgreen,"It feeds on soil. After it has eaten a large mountain, it will fall asleep so it can grow."
diamond,"A Pokémon that eats soil. Once it has eaten a large mountain, it goes to sleep so it can grow."
pearl,"A Pokémon that eats soil. Once it has eaten a large mountain, it goes to sleep so it can grow."
platinum,"A Pokémon that eats soil. Once it has eaten a large mountain, it goes to sleep so it can grow."
heartgold,"It feeds on soil. After it has eaten a large mountain, it falls asleep so it can grow."
soulsilver,It is born deep underground. It can’t emerge until it has entirely consumed the soil around it.
black,"A Pokémon that eats soil. Once it has eaten a large mountain, it goes to sleep so it can grow."
white,"A Pokémon that eats soil. Once it has eaten a large mountain, it goes to sleep so it can grow."
black-2,"Born deep underground, it comes aboveground and becomes a pupa once it has finished eating the surrounding soil."
white-2,"Born deep underground, it comes aboveground and becomes a pupa once it has finished eating the surrounding soil."
x,"It feeds on soil. After it has eaten a large mountain, it falls asleep so it can grow."
y,"Born deep underground, it comes aboveground and becomes a pupa once it has finished eating the surrounding soil."
omega-ruby,"Larvitar is born deep under the ground. To come up to the surface, this Pokémon must eat its way through the soil above. Until it does so, Larvitar cannot see its parents."
alpha-sapphire,"Larvitar is born deep under the ground. To come up to the surface, this Pokémon must eat its way through the soil above. Until it does so, Larvitar cannot see its parents."
ultra-sun,"Born underground, it eats its way through dirt to the surface, where its parents are. It doesn’t deal well with the bright light it finds there."
ultra-moon,"Raised on nutrients it finds in the dirt, it eats roughly a mountain’s worth of dirt before it becomes a pupa."
sword,"Born deep underground, it comes aboveground and becomes a pupa once it has finished eating the surrounding soil."
shield,"It feeds on soil. After it has eaten a large mountain, it will fall asleep so it can grow."
