Game,Flavor Text
red,"In battle, it flaps its wings at high speed to release highly toxic dust into the air."
blue,"In battle, it flaps its wings at high speed to release highly toxic dust into the air."
yellow,"Its wings, covered with poisonous powders, repel water. This allows it to fly in the rain."
gold,It collects honey every day. It rubs honey onto the hairs on its legs to carry it back to its nest.
silver,"Water-repellent powder on its wings enables it to collect honey, even in the heav­ iest of rains."
crystal,"It flits from flower to flower, collecting honey. It can even identify distant flowers in bloom."
ruby,"BUTTERFREE has a superior ability to search for delicious honey from flowers. It can even search out, extract, and carry honey from flowers that are blooming over six miles from its nest."
sapphire,"BUTTERFREE has a superior ability to search for delicious honey from flowers. It can even search out, extract, and carry honey from flowers that are blooming over six miles from its nest."
emerald,"It has a superior ability to search for delicious honey from flowers. It can seek, extract, and carry honey from flowers blooming over six miles away."
firered,"The wings are protected by rain-repellent dust. As a result, this POKéMON can fly about even in rain."
leafgreen,"In battle, it flaps its wings at great speed to release highly toxic dust into the air."
diamond,It loves the honey of flowers and can locate flower patches that have even tiny amounts of pollen.
pearl,It loves the honey of flowers and can locate flower patches that have even tiny amounts of pollen.
platinum,It loves the honey of flowers and can locate flower patches that have even tiny amounts of pollen.
heartgold,It collects honey every day. It rubs honey onto the hairs on its legs to carry it back to its nest.
soulsilver,"Water-repellent powder on its wings enables it to collect honey, even in the heaviest of rains."
black,It loves the honey of flowers and can locate flower patches that have even tiny amounts of pollen.
white,It loves the honey of flowers and can locate flower patches that have even tiny amounts of pollen.
black-2,It loves the honey of flowers and can locate flower patches that have even tiny amounts of pollen.
white-2,It loves the honey of flowers and can locate flower patches that have even tiny amounts of pollen.
x,It loves the honey of flowers and can locate flower patches that have even tiny amounts of pollen.
y,"The wings are protected by rain-repellent dust. As a result, this Pokémon can fly about even in rain."
omega-ruby,"Butterfree has a superior ability to search for delicious honey from flowers. It can even search out, extract, and carry honey from flowers that are blooming over six miles from its nest."
alpha-sapphire,"Butterfree has a superior ability to search for delicious honey from flowers. It can even search out, extract, and carry honey from flowers that are blooming over six miles from its nest."
sun,Close examination of its large eyes reveals that each eye is composed of a myriad of tiny eyes.
moon,"When attacked by other Pokémon, it defends itself by scattering its poisonous scales and fluttering its wings."
ultra-sun,"Its wings are covered in toxic scales. If it finds bird Pokémon going after Caterpie, Butterfree sprinkles its scales on them to drive them off."
ultra-moon,"Nectar from pretty flowers is its favorite food. In fields of flowers, it has heated battles with Cutiefly for territory."
lets-go-pikachu,"Its wings, covered with poisonous powder, repel water. This allows it to fly in the rain."
lets-go-eevee,"Its wings, covered with poisonous powder, repel water. This allows it to fly in the rain."
sword,"In battle, it flaps its wings at great speed to release highly toxic dust into the air."
shield,It collects honey every day. It rubs honey onto the hairs on its legs to carry it back to its nest.
