Game,Flavor Text
diamond,It wraps things with its extensible tongue. Getting too close to it will leave you soaked with drool.
pearl,It wraps things with its extensible tongue. Getting too close to it will leave you soaked with drool.
platinum,The long tongue is always soggy with slobber. The saliva contains a solvent that causes numbness.
heartgold,Its saliva can decompose anything. It wraps its long tongue around things to coat them with its sticky saliva.
soulsilver,It has space in its throat to store saliva. It can also roll up its tongue and store it in the same spot.
black,The long tongue is always soggy with slobber. The saliva contains a solvent that causes numbness.
white,The long tongue is always soggy with slobber. The saliva contains a solvent that causes numbness.
black-2,Their saliva contains lots of components that can dissolve anything. The numbness caused by their lick does not dissipate.
white-2,Their saliva contains lots of components that can dissolve anything. The numbness caused by their lick does not dissipate.
x,It wraps things with its extensible tongue. Getting too close to it will leave you soaked with drool.
y,Their saliva contains lots of components that can dissolve anything. The numbness caused by their lick does not dissipate.
omega-ruby,It wraps things with its extensible tongue. Getting too close to it will leave you soaked with drool.
alpha-sapphire,Their saliva contains lots of components that can dissolve anything. The numbness caused by their lick does not dissipate.
ultra-sun,A contest is under way to determine which one can stick its tongue out the farthest. The current record is...more than 82 feet.
ultra-moon,It uses its tongue much more skillfully than its hands or its feet. It can deftly pick up a single small bean with its tongue.
sword,Lickilicky’s strange tongue can stretch to many times the length of its body. No one has figured out how Lickilicky’s tongue can stretch so far.
shield,"Lickilicky can do just about anything with its tongue, which is as dexterous as the human hand. In contrast, Lickilicky’s use of its fingers is clumsy."
legends-arceus,"Its tongue can extend and contract freely, and it is capable of reaching lengths over 10 times Lickilicky's height. Beware of the saliva, as it contains corrosive elements."
