Game,Flavor Text
black,"With its sweet aroma, it guides Volbeat to draw signs with light in the night sky."
ruby,"ILLUMISE attracts a swarm of VOLBEAT using a sweet fragrance. Once the VOLBEAT have gathered, this POKéMON leads the lit-up swarm in drawing geometric designs on the canvas of the night sky."
sapphire,ILLUMISE leads a flight of illuminated VOLBEAT to draw signs in the night sky. This POKéMON is said to earn greater respect from its peers by composing more complex designs in the sky.
emerald,A nocturnal POKéMON that becomes active upon nightfall. It leads a VOLBEAT swarm to draw patterns in the night sky. Over 200 different patterns have been confirmed.
firered,It guides VOLBEAT to draw signs in night skies. There are scientists that study the patterns it creates.
leafgreen,It guides VOLBEAT to draw signs in night skies. There are scientists that study the patterns it creates.
diamond,"With its sweet aroma, it guides VOLBEAT to draw signs with light in the night sky."
pearl,"With its sweet aroma, it guides VOLBEAT to draw signs with light in the night sky."
platinum,"With its sweet aroma, it guides VOLBEAT to draw signs with light in the night sky."
heartgold,"Its fragrance attracts a swarm of VOLBEAT, so they draw over 200 patterns in the night sky."
soulsilver,"Its fragrance attracts a swarm of VOLBEAT, so they draw over 200 patterns in the night sky."
white,"With its sweet aroma, it guides Volbeat to draw signs with light in the night sky."
black-2,"With its sweet aroma, it guides Volbeat to draw signs with light in the night sky."
white-2,"With its sweet aroma, it guides Volbeat to draw signs with light in the night sky."
x,"Its fragrance attracts a swarm of Volbeat, so they draw over 200 patterns in the night sky."
y,"With its sweet aroma, it guides Volbeat to draw signs with light in the night sky."
omega-ruby,"Illumise attracts a swarm of Volbeat using a sweet fragrance. Once the Volbeat have gathered, this Pokémon leads the lit-up swarm in drawing geometric designs on the canvas of the night sky."
alpha-sapphire,Illumise leads a flight of illuminated Volbeat to draw signs in the night sky. This Pokémon is said to earn greater respect from its peers by composing more complex designs in the sky.
