Game,Flavor Text
diamond,"When BURMY evolved, its cloak became a part of this Pokémon’s body. The cloak is never shed."
pearl,Its appearance changes depending on where it evolved. The materials on hand become a part of its body.
platinum,"When evolving, its body takes in surrounding materials. As a result, there are many body variations."
heartgold,It is said that a WORMADAM that evolves on a cold day will have a thicker cloak.
soulsilver,It is said that a WORMADAM that evolves on a cold day will have a thicker cloak.
black,"When evolving, its body takes in surrounding materials. As a result, there are many body variations."
white,"When evolving, its body takes in surrounding materials. As a result, there are many body variations."
black-2,"When evolving, its body takes in surrounding materials. As a result, there are many body variations."
white-2,"When evolving, its body takes in surrounding materials. As a result, there are many body variations."
x,Its appearance changes depending on where it evolved. The materials on hand become a part of its body.
y,"When Burmy evolved, its cloak became a part of this Pokémon’s body. The cloak is never shed."
omega-ruby,Its appearance changes depending on where it evolved. The materials on hand become a part of its body.
alpha-sapphire,"When Burmy evolved, its cloak became a part of this Pokémon’s body. The cloak is never shed."
