Game,Flavor Text
red,"Because it never removes its skull helmet, no one has ever seen this POKéMON's real face."
blue,"Because it never removes its skull helmet, no one has ever seen this POKéMON's real face."
yellow,Wears the skull of its deceased mother. Its cries echo inside the skull and come out as a sad melody.
gold,"If it is sad or lonely, the skull it wears shakes, and emits a plain­ tive and mournful sound."
silver,"It always wears the skull of its dead mother, so no one has any idea what its hidden face looks like."
crystal,"It lost its mother after its birth. It wears its mother's skull, never revealing its true face."
ruby,"CUBONE pines for the mother it will never see again. Seeing a likeness of its mother in the full moon, it cries. The stains on the skull the POKéMON wears are made by the tears it sheds."
sapphire,"CUBONE pines for the mother it will never see again. Seeing a likeness of its mother in the full moon, it cries. The stains on the skull the POKéMON wears are made by the tears it sheds."
emerald,"It pines for the mother it will never see again. Seeing a likeness of its mother in the full moon, it cries. The stains on the skull it wears are from its tears."
firered,"It wears the skull of its dead mother on its head. When it becomes lonesome, it is said to cry loudly."
leafgreen,"Because it never removes its skull helmet, no one has ever seen this POKéMON’s real face."
diamond,"When it thinks of its dead mother, it cries. Its crying makes the skull it wears rattle hollowly."
pearl,"When it thinks of its dead mother, it cries. Its crying makes the skull it wears rattle hollowly."
platinum,"When it thinks of its dead mother, it cries. Its crying makes the skull it wears rattle hollowly."
heartgold,"If it is sad or lonely, the skull it wears shakes and emits a plaintive and mournful sound."
soulsilver,"It always wears the skull of its dead mother, so no one has any idea what its hidden face looks like."
black,"When it thinks of its dead mother, it cries. Its crying makes the skull it wears rattle hollowly."
white,"When it thinks of its dead mother, it cries. Its crying makes the skull it wears rattle hollowly."
black-2,"When it thinks of its dead mother, it cries. Its crying makes the skull it wears rattle hollowly."
white-2,"When it thinks of its dead mother, it cries. Its crying makes the skull it wears rattle hollowly."
x,"It wears the skull of its dead mother on its head. When it becomes lonesome, it is said to cry loudly."
y,"It always wears the skull of its dead mother, so no one has any idea what its hidden face looks like."
omega-ruby,"Cubone pines for the mother it will never see again. Seeing a likeness of its mother in the full moon, it cries. The stains on the skull the Pokémon wears are made by the tears it sheds."
alpha-sapphire,"Cubone pines for the mother it will never see again. Seeing a likeness of its mother in the full moon, it cries. The stains on the skull the Pokémon wears are made by the tears it sheds."
sun,"When it thinks of its deceased mother, it weeps loudly. Mandibuzz that hear its cries will attack it from the air."
moon,"The skull it wears on its head is that of its dead mother. According to some, it will evolve when it comes to terms with the pain of her death."
ultra-sun,"At night, it weeps loudly for its dead mother, but those cries only attract its natural enemy—Mandibuzz."
ultra-moon,"It wears its mother’s skull on its head, so no one knows what its bare face looks like. However, it’s clear that it’s always crying."
lets-go-pikachu,Wears the skull of its deceased mother. Its cries echo inside the skull and come out as a sad melody.
lets-go-eevee,Wears the skull of its deceased mother. Its cries echo inside the skull and come out as a sad melody.
sword,"When the memory of its departed mother brings it to tears, its cries echo mournfully within the skull it wears on its head."
shield,"This Pokémon wears the skull of its deceased mother. Sometimes Cubone’s dreams make it cry, but each tear Cubone sheds makes it stronger."
