Game,Flavor Text
ruby,"SHEDINJA’s hard body doesn’t move - not even a twitch. In fact, its body appears to be merely a hollow shell. It is believed that this POKéMON will steal the spirit of anyone peering into its hollow body from its back."
sapphire,SHEDINJA is a peculiar POKéMON. It seems to appear unsought in a POKé BALL after a NINCADA evolves. This bizarre POKéMON is entirely immobile - it doesn’t even breathe.
emerald,A peculiar POKéMON that floats in air even though its wings remain completely still. The inside of its body is hollow and utterly dark.
firered,A most peculiar POKéMON that somehow appears in a POKé BALL when a NINCADA evolves.
leafgreen,A most peculiar POKéMON that somehow appears in a POKé BALL when a NINCADA evolves.
diamond,A discarded bug shell that came to life. Peering into the crack on its back is said to steal one’s spirit.
pearl,A discarded bug shell that came to life. Peering into the crack on its back is said to steal one’s spirit.
platinum,A discarded bug shell that came to life. Peering into the crack on its back is said to steal one’s spirit.
heartgold,"A strange Pokémon--it flies without moving its wings, has a hollow shell for a body, and does not breathe."
soulsilver,"A strange Pokémon--it flies without moving its wings, has a hollow shell for a body, and does not breathe."
black,A discarded bug shell that came to life. Peering into the crack on its back is said to steal one’s spirit.
white,A discarded bug shell that came to life. Peering into the crack on its back is said to steal one’s spirit.
black-2,A discarded bug shell that came to life. Peering into the crack on its back is said to steal one’s spirit.
white-2,A discarded bug shell that came to life. Peering into the crack on its back is said to steal one’s spirit.
x,A discarded bug shell that came to life. Peering into the crack on its back is said to steal one’s spirit.
y,A most peculiar Pokémon that somehow appears in a Poké Ball when a Nincada evolves.
omega-ruby,"Shedinja’s hard body doesn’t move—not even a twitch. In fact, its body appears to be merely a hollow shell. It is believed that this Pokémon will steal the spirit of anyone peering into its hollow body from its back."
alpha-sapphire,Shedinja is a peculiar Pokémon. It seems to appear unsought in a Poké Ball after a Nincada evolves. This bizarre Pokémon is entirely immobile—it doesn’t even breathe.
sword,A most peculiar Pokémon that somehow appears in a Poké Ball when a Nincada evolves.
shield,"A strange Pokémon—it flies without moving its wings, has a hollow shell for a body, and does not breathe."
