Game,Flavor Text
black,It can return to its Trainer’s location regardless of the distance separating them.
white,"Many people believe that, deep in the forest where Tranquill live, there is a peaceful place where there is no war."
black-2,"No matter where in the world it goes, it knows where its nest is, so it never gets separated from its Trainer."
white-2,"No matter where in the world it goes, it knows where its nest is, so it never gets separated from its Trainer."
x,"Many people believe that, deep in the forest where Tranquill live, there is a peaceful place where there is no war."
y,"No matter where in the world it goes, it knows where its nest is, so it never gets separated from its Trainer."
omega-ruby,"Many people believe that, deep in the forest where Tranquill live, there is a peaceful place where there is no war."
alpha-sapphire,"No matter where in the world it goes, it knows where its nest is, so it never gets separated from its Trainer."
sword,"It can fly moderately quickly. No matter how far it travels, it can always find its way back to its master and its nest."
shield,These bright Pokémon have acute memories. Apparently delivery workers often choose them as their partners.
