Game,Flavor Text
red,A bird that makes up for its poor flying with its fast foot speed. Leaves giant footprints.
blue,A bird that makes up for its poor flying with its fast foot speed. Leaves giant footprints.
yellow,"Its short wings make flying dif­ ficult. Instead, this POKéMON runs at high speed on developed legs."
gold,"By alternately raising and lower­ ing its two heads, it balances itself to be more stable while running."
silver,"It races through grassy plains with powerful strides, leaving footprints up to four inches deep."
crystal,"It lives on a grassy plain where it can see a long way. If it sees an enemy, it runs away at 60 mph."
ruby,"DODUO’s two heads never sleep at the same time. Its two heads take turns sleeping, so one head can always keep watch for enemies while the other one sleeps."
sapphire,"DODUO’s two heads contain completely identical brains. A scientific study reported that on rare occasions, there will be examples of this POKéMON possessing different sets of brains."
emerald,"Even while eating or sleeping, one of the heads remains always vigilant for any sign of danger. When threatened, it flees at over 60 miles per hour."
firered,A two-headed POKéMON that was discovered as a sudden mutation. It runs at a pace of over 60 miles per hour.
leafgreen,A bird that makes up for its poor flying with its fast foot speed. Leaves giant footprints.
diamond,The brains in its two heads appear to communicate emotions to each other with a telepathic power.
pearl,The brains in its two heads appear to communicate emotions to each other with a telepathic power.
platinum,The brains in its two heads appear to communicate emotions to each other with a telepathic power.
heartgold,"By alternately raising and lowering its two heads, it balances itself to be more stable while running."
soulsilver,"It races through grassy plains with powerful strides, leaving footprints up to four inches deep."
black,The brains in its two heads appear to communicate emotions to each other with a telepathic power.
white,The brains in its two heads appear to communicate emotions to each other with a telepathic power.
black-2,The brains in its two heads appear to communicate emotions to each other with a telepathic power.
white-2,The brains in its two heads appear to communicate emotions to each other with a telepathic power.
x,A two-headed Pokémon that was discovered as a sudden mutation. It runs at a pace of over 60 miles per hour.
y,The brains in its two heads appear to communicate emotions to each other with a telepathic power.
omega-ruby,"Doduo’s two heads never sleep at the same time. Its two heads take turns sleeping, so one head can always keep watch for enemies while the other one sleeps."
alpha-sapphire,"Doduo’s two heads contain completely identical brains. A scientific study reported that on rare occasions, there will be examples of this Pokémon possessing different sets of brains."
lets-go-pikachu,"Its short wings make flying difficult. Instead, this Pokémon runs at high speed on developed legs."
lets-go-eevee,"Its short wings make flying difficult. Instead, this Pokémon runs at high speed on developed legs."
