Game,Flavor Text
red,Puts enemies to sleep then eats their dreams. Occasionally gets sick from eating bad dreams.
blue,Puts enemies to sleep then eats their dreams. Occasionally gets sick from eating bad dreams.
yellow,"If you sleep by it all the time, it will sometimes show you dreams it has eaten in the past."
gold,"If you think that you had a good dream, but you can't remember it, a DROWZEE has probably eaten it."
silver,It remembers every dream it eats. It rarely eats the dreams of adults because children's are much tastier.
crystal,"When it twitches its nose, it can tell where someone is sleeping and what that person is dreaming about."
ruby,"If your nose becomes itchy while you are sleeping, it’s a sure sign that one of these POKéMON is standing above your pillow and trying to eat your dream through your nostrils."
sapphire,"If your nose becomes itchy while you are sleeping, it’s a sure sign that one of these POKéMON is standing above your pillow and trying to eat your dream through your nostrils."
emerald,"If your nose becomes itchy while you are sleeping, it’s a sure sign that a DROWZEE is standing above your pillow and trying to eat your dream through your nostrils."
firered,"A descendent of the legendary animal baku, which is said to eat dreams. It is skilled at hypnotism."
leafgreen,"Puts enemies to sleep, then eats their dreams. Occasionally gets sick from eating only bad dreams."
diamond,It can tell what people are dreaming by sniffing with its big nose. It loves fun dreams.
pearl,It can tell what people are dreaming by sniffing with its big nose. It loves fun dreams.
platinum,It can tell what people are dreaming by sniffing with its big nose. It loves fun dreams.
heartgold,"If you think that you had a good dream but you can’t remember it, a DROWZEE has probably eaten it."
soulsilver,It remembers every dream it eats. It rarely eats the dreams of adults because children’s are much tastier.
black,It can tell what people are dreaming by sniffing with its big nose. It loves fun dreams.
white,It can tell what people are dreaming by sniffing with its big nose. It loves fun dreams.
black-2,It can tell what people are dreaming by sniffing with its big nose. It loves fun dreams.
white-2,It can tell what people are dreaming by sniffing with its big nose. It loves fun dreams.
x,"Puts enemies to sleep, then eats their dreams. Occasionally gets sick from eating only bad dreams."
y,"If you think that you had a good dream but you can’t remember it, a Drowzee has probably eaten it."
omega-ruby,"If your nose becomes itchy while you are sleeping, it’s a sure sign that one of these Pokémon is standing above your pillow and trying to eat your dream through your nostrils."
alpha-sapphire,"If your nose becomes itchy while you are sleeping, it’s a sure sign that one of these Pokémon is standing above your pillow and trying to eat your dream through your nostrils."
sun,"A Pokémon that nourishes itself by eating dreams, it is thought to share common ancestry with Munna and Musharna."
moon,"It finds really fun dreams tasty. When it makes friends with people, it may show them the most delicious dreams it’s ever eaten."
ultra-sun,"It can be spotted near recreational facilities, intending to eat the pleasant dreams of children who enjoyed themselves there that day."
ultra-moon,"It puts its prey to sleep and devours their dreams. It seems that bad dreams taste sour, so Drowzee doesn’t particularly like eating them."
lets-go-pikachu,"If you sleep by it all the time, it will sometimes show you dreams it had eaten in the past."
lets-go-eevee,"If you sleep by it all the time, it will sometimes show you dreams it had eaten in the past."
