Game,Flavor Text
diamond,"Known as “The Being of Emotion.” It taught humans the nobility of sorrow, pain, and joy."
pearl,It sleeps at the bottom of a lake. Its spirit is said to leave its body to fly on the lake’s surface.
platinum,"When MESPRIT flew, people learned the joy and sadness of living. It was the birth of emotions."
heartgold,"This Pokémon is said to have endowed the human heart with emotions, such as sorrow and joy."
soulsilver,"This Pokémon is said to have endowed the human heart with emotions, such as sorrow and joy."
black,"When Mesprit flew, people learned the joy and sadness of living. It was the birth of emotions."
white,"When Mesprit flew, people learned the joy and sadness of living. It was the birth of emotions."
black-2,"When Mesprit flew, people learned the joy and sadness of living. It was the birth of emotions."
white-2,"When Mesprit flew, people learned the joy and sadness of living. It was the birth of emotions."
x,"Known as “The Being of Emotion.” It taught humans the nobility of sorrow, pain, and joy."
y,It sleeps at the bottom of a lake. Its spirit is said to leave its body to fly on the lake’s surface.
omega-ruby,"Known as “The Being of Emotion.” It taught humans the nobility of sorrow, pain, and joy."
alpha-sapphire,It sleeps at the bottom of a lake. Its spirit is said to leave its body to fly on the lake’s surface.
legends-arceus,"Known as the Being of Emotion. In legend, this Pokémon was feared, as any who showed disrespect would have their emotions thrown into disarray."
