Game,Flavor Text
diamond,It has a savage nature. It will courageously challenge foes that are much larger.
pearl,The muscles in its wings and legs are strong. It can easily fly while gripping a small Pokémon.
platinum,It never stops attacking even if it is injured. It fusses over the shape of its comb.
heartgold,"When STARAVIA evolve into STARAPTOR, they leave the flock to live alone. They have sturdy wings."
soulsilver,"When STARAVIA evolve into STARAPTOR, they leave the flock to live alone. They have sturdy wings."
black,It never stops attacking even if it is injured. It fusses over the shape of its comb.
white,It never stops attacking even if it is injured. It fusses over the shape of its comb.
black-2,It never stops attacking even if it is injured. It fusses over the shape of its comb.
white-2,It never stops attacking even if it is injured. It fusses over the shape of its comb.
x,The muscles in its wings and legs are strong. It can easily fly while gripping a small Pokémon.
y,"When Staravia evolve into Staraptor, they leave the flock to live alone. They have sturdy wings."
omega-ruby,The muscles in its wings and legs are strong. It can easily fly while gripping a small Pokémon.
alpha-sapphire,"When Staravia evolve into Staraptor, they leave the flock to live alone. They have sturdy wings."
legends-arceus,"It has left the flock, having gained strength enough to survive on its own. The astounding force with which Staraptor flies through the air allows it to carry away large, burly targets."
