Game,Flavor Text
diamond,It is a brazen brute that barges its way into another Pokémon’s nest and claims it as its own.
pearl,"To make itself appear intimidatingly beefy, it tightly cinches its waist with its twin tails."
platinum,"It binds its body with its tails to make itself look bigger. If it locks eyes, it will glare ceaselessly."
heartgold,It would claim another Pokémon’s nest as its own if it finds a nest sufficiently comfortable.
soulsilver,It would claim another Pokémon’s nest as its own if it finds a nest sufficiently comfortable.
black,"It binds its body with its tails to make itself look bigger. If it locks eyes, it will glare ceaselessly."
white,"It binds its body with its tails to make itself look bigger. If it locks eyes, it will glare ceaselessly."
black-2,"It binds its body with its tails to make itself look bigger. If it locks eyes, it will glare ceaselessly."
white-2,"It binds its body with its tails to make itself look bigger. If it locks eyes, it will glare ceaselessly."
x,It would claim another Pokémon’s nest as its own if it finds a nest sufficiently comfortable.
y,"To make itself appear intimidatingly beefy, it tightly cinches its waist with its twin tails."
omega-ruby,It would claim another Pokémon’s nest as its own if it finds a nest sufficiently comfortable.
alpha-sapphire,"To make itself appear intimidatingly beefy, it tightly cinches its waist with its twin tails."
legends-arceus,"Though impudent and difficult to tame, Purugly enjoys great popularity due to its fur, the beauty of which surpasses even velveteen."
