Game,Flavor Text
black,"Red and blue Basculin get along so poorly, they’ll start fighting instantly. These Pokémon are very hostile."
white,"Red and blue Basculin usually do not get along, but sometimes members of one school mingle with the other’s school."
black-2,Red- and blue-striped Basculin are very violent and always fighting. They are also remarkably tasty.
white-2,Red- and blue-striped Basculin are very violent and always fighting. They are also remarkably tasty.
x,Red- and blue-striped Basculin are very violent and always fighting. They are also remarkably tasty.
y,"Red and blue Basculin usually do not get along, but sometimes members of one school mingle with the other’s school."
omega-ruby,Red- and blue-striped Basculin are very violent and always fighting. They are also remarkably tasty.
alpha-sapphire,"Red and blue Basculin usually do not get along, but sometimes members of one school mingle with the other’s school."
ultra-sun,"Savage, violent Pokémon, red and blue Basculin are always fighting each other over territory."
ultra-moon,"When a school of Basculin appears in a lake, everything else disappears, except for Corphish and Crawdaunt. That’s how violent Basculin are."
sword,Anglers love the fight this Pokémon puts up on the hook. And there are always more to catch— many people release them into lakes illicitly.
shield,"In the past, it often appeared on the dinner table. The meat of red-striped Basculin is on the fatty side, and it’s more popular with the youth."
legends-arceus,"Though it differs from other Basculin in several respects, including demeanor—this one is gentle—I have categorized it as a regional form given the vast array of shared qualities."
