Game,Flavor Text
ruby,"FLYGON is nicknamed “the elemental  spirit of the desert.” Because its flapping wings whip up a cloud of sand, this POKéMON is always enveloped in a sandstorm while flying."
sapphire,"FLYGON whips up a sandstorm by flapping its wings. The wings create a series of notes that sound like singing. Because the “singing” is the only thing that can be heard in a sandstorm, this POKéMON is said to be the desert spirit."
emerald,"The flapping of its wings sounds like singing. To prevent detection by enemies, it hides itself by flapping up a cloud of desert sand."
firered,It hides itself by kicking up desert sand with its wings. Red covers shield its eyes from sand.
leafgreen,It hides itself by kicking up desert sand with its wings. Red covers shield its eyes from sand.
diamond,It whips up sandstorms with powerful flaps of its wings. It is known as “The Desert Spirit.”
pearl,It whips up sandstorms with powerful flaps of its wings. It is known as “The Desert Spirit.”
platinum,It whips up sandstorms with powerful flaps of its wings. It is known as “The Desert Spirit.”
heartgold,It is nicknamed “The Desert Spirit” because the flapping of its wings sounds like a woman singing.
soulsilver,It is nicknamed “The Desert Spirit” because the flapping of its wings sounds like a woman singing.
black,It whips up sandstorms with powerful flaps of its wings. It is known as “The Desert Spirit.”
white,It whips up sandstorms with powerful flaps of its wings. It is known as “The Desert Spirit.”
black-2,"Known as “The Desert Spirit,” this Pokémon hides in the sandstorms it causes by beating its wings."
white-2,"Known as “The Desert Spirit,” this Pokémon hides in the sandstorms it causes by beating its wings."
x,It hides itself by kicking up desert sand with its wings. Red covers shield its eyes from sand.
y,"Known as “The Desert Spirit,” this Pokémon hides in the sandstorms it causes by beating its wings."
omega-ruby,"Flygon is nicknamed “the elemental spirit of the desert.” Because its flapping wings whip up a cloud of sand, this Pokémon is always enveloped in a sandstorm while flying."
alpha-sapphire,"Flygon whips up a sandstorm by flapping its wings. The wings create a series of notes that sound like singing. Because the “singing” is the only thing that can be heard in a sandstorm, this Pokémon is said to be the desert spirit."
sun,"The flapping of its wings sounds something like singing. Those lured by the sound are enveloped in a sandstorm, becoming Flygon’s prey."
moon,This Pokémon hides in the heart of sandstorms it creates and seldom appears where people can see it.
ultra-sun,"By flapping their wings, Flygon cause sandstorms that conceal Krookodile. The team then splits the prey they catch."
ultra-moon,People continue to have their hearts stolen by its enchanting songs and find themselves stranded in the desert.
sword,This Pokémon hides in the heart of sandstorms it creates and seldom appears where people can see it.
shield,It is nicknamed the Desert Spirit because the flapping of its wings sounds like a woman singing.
