Game,Flavor Text
red,Known as the legendary bird of fire. Every flap of its wings creates a dazzling flash of flames.
blue,Known as the legendary bird of fire. Every flap of its wings creates a dazzling flash of flames.
yellow,"A legendary bird POKéMON. As it flaps its flaming wings, even the night sky will turn red."
gold,This legendary POKéMON scatters embers with every flap of its wings. It is a thrilling sight to behold.
silver,This legendary bird POKéMON is said to bring early spring to the wintry lands it visits.
crystal,Legendary bird POKéMON. It is said to migrate from the south along with the spring.
ruby,"MOLTRES is a legendary bird POKéMON that has the ability to control fire. If this POKéMON is injured, it is said to dip its body in the molten magma of a volcano to burn and heal itself."
sapphire,"MOLTRES is a legendary bird POKéMON that has the ability to control fire. If this POKéMON is injured, it is said to dip its body in the molten magma of a volcano to burn and heal itself."
emerald,"MOLTRES is a legendary bird POKéMON that can control fire. If injured, it is said to dip its body in the molten magma of a volcano to burn and heal itself."
firered,One of the legendary bird POKéMON. Those seeing it are overwhelmed by its orange wings that seem to be on fire.
leafgreen,It is said to be the legendary bird POKéMON of fire. Every flap of its wings creates a dazzling flare of flames.
diamond,One of the legendary bird Pokémon. It is said that its appearance indicates the coming of spring.
pearl,One of the legendary bird Pokémon. It is said that its appearance indicates the coming of spring.
platinum,One of the legendary bird Pokémon. It is said that its appearance indicates the coming of spring.
heartgold,This legendary Pokémon scatters embers with every flap of its wings. It is a thrilling sight to behold.
soulsilver,This legendary bird Pokémon is said to bring early spring to the wintry lands it visits.
black,One of the legendary bird Pokémon. It is said that its appearance indicates the coming of spring.
white,One of the legendary bird Pokémon. It is said that its appearance indicates the coming of spring.
black-2,One of the legendary bird Pokémon. It is said that its appearance indicates the coming of spring.
white-2,One of the legendary bird Pokémon. It is said that its appearance indicates the coming of spring.
x,It is said to be the legendary bird Pokémon of fire. Every flap of its wings creates a dazzling flare of flames.
y,One of the legendary bird Pokémon. It is said that its appearance indicates the coming of spring.
omega-ruby,"Moltres is a legendary bird Pokémon that has the ability to control fire. If this Pokémon is injured, it is said to dip its body in the molten magma of a volcano to burn and heal itself."
alpha-sapphire,"Moltres is a legendary bird Pokémon that has the ability to control fire. If this Pokémon is injured, it is said to dip its body in the molten magma of a volcano to burn and heal itself."
lets-go-pikachu,"A legendary bird Pokémon. As it flaps its flaming wings, even the night sky will turn red."
lets-go-eevee,"A legendary bird Pokémon. As it flaps its flaming wings, even the night sky will turn red."
sword,"It’s one of the legendary bird Pokémon. When Moltres flaps its flaming wings, they glimmer with a dazzling red glow."
shield,"There are stories of this Pokémon using its radiant, flame-cloaked wings to light up paths for those lost in the mountains."
