Game,Flavor Text
gold,The curved antlers subtly change the flow of air to create a strange space where real­ ity is distorted.
silver,Those who stare at its antlers will gradually lose control of their senses and be unable to stand.
crystal,The round balls found on the fallen antlers can be ground into a powder that aids in sleeping.
ruby,"STANTLER’s magnificent antlers were traded at high prices as works of art. As a result, this POKéMON was hunted close to extinction by those who were after the priceless antlers."
sapphire,"STANTLER’s magnificent antlers were traded at high prices as works of art. As a result, this POKéMON was hunted close to extinction by those who were after the priceless antlers."
emerald,"STANTLER’s magnificent antlers were once traded at high prices as works of art. As a result, this POKéMON was hunted close to extinction."
firered,Those who stare at its antlers will gradually lose control of their senses and be unable to stand.
leafgreen,Its curved antlers subtly change the flow of air to create a strange space where reality is distorted.
diamond,Staring at its antlers creates an odd sensation as if one were being drawn into their centers.
pearl,Staring at its antlers creates an odd sensation as if one were being drawn into their centers.
platinum,Staring at its antlers creates an odd sensation as if one were being drawn into their centers.
heartgold,The curved antlers subtly change the flow of air to create a strange space where reality is distorted.
soulsilver,Those who stare at its antlers will gradually lose control of their senses and be unable to stand.
black,Staring at its antlers creates an odd sensation as if one were being drawn into their centers.
white,Staring at its antlers creates an odd sensation as if one were being drawn into their centers.
black-2,Staring at its antlers creates an odd sensation as if one were being drawn into their centers.
white-2,Staring at its antlers creates an odd sensation as if one were being drawn into their centers.
x,Staring at its antlers creates an odd sensation as if one were being drawn into their centers.
y,The curved antlers subtly change the flow of air to create a strange space where reality is distorted.
omega-ruby,"Stantler’s magnificent antlers were traded at high prices as works of art. As a result, this Pokémon was hunted close to extinction by those who were after the priceless antlers."
alpha-sapphire,"Stantler’s magnificent antlers were traded at high prices as works of art. As a result, this Pokémon was hunted close to extinction by those who were after the priceless antlers."
legends-arceus,Its strangely shaped antlers have the power to bewitch those who see them. Medicine made by grinding up the black orbs from fallen antlers is an effective treatment for insomnia.
