Game,Flavor Text
red,Capable of copying an enemy's genetic code to instantly transform itself into a duplicate of the enemy.
blue,Capable of copying an enemy's genetic code to instantly transform itself into a duplicate of the enemy.
yellow,"When it spots an enemy, its body transfigures into an almost perfect copy of its oppo­ nent."
gold,"It can transform into anything. When it sleeps, it changes into a stone to avoid being attacked."
silver,"Its transformation ability is per­ fect. However, if made to laugh, it can't maintain its disguise."
crystal,"When it encount­ ers another DITTO, it will move faster than normal to duplicate that opponent exactly."
ruby,"DITTO rearranges its cell structure to transform itself into other shapes. However, if it tries to transform itself into something by relying on its memory, this POKéMON manages to get details wrong."
sapphire,"DITTO rearranges its cell structure to transform itself into other shapes. However, if it tries to transform itself into something by relying on its memory, this POKéMON manages to get details wrong."
emerald,"A DITTO rearranges its cell structure to transform itself. However, if it tries to change based on its memory, it will get details wrong."
firered,It can freely recombine its own cellular structure to transform into other life- forms.
leafgreen,Capable of copying an opponent’s genetic code to instantly transform itself into a duplicate of the enemy.
diamond,It has the ability to reconstitute its entire cellular structure to transform into whatever it sees.
pearl,It has the ability to reconstitute its entire cellular structure to transform into whatever it sees.
platinum,It has the ability to reconstitute its entire cellular structure to transform into whatever it sees.
heartgold,"It can transform into anything. When it sleeps, it changes into a stone to avoid being attacked."
soulsilver,"Its transformation ability is perfect. However, if made to laugh, it can’t maintain its disguise."
black,It has the ability to reconstitute its entire cellular structure to transform into whatever it sees.
white,It has the ability to reconstitute its entire cellular structure to transform into whatever it sees.
black-2,"It can reconstitute its entire cellular structure to change into what it sees, but it returns to normal when it relaxes."
white-2,"It can reconstitute its entire cellular structure to change into what it sees, but it returns to normal when it relaxes."
x,It has the ability to reconstitute its entire cellular structure to transform into whatever it sees.
y,It can freely recombine its own cellular structure to transform into other life-forms.
omega-ruby,"Ditto rearranges its cell structure to transform itself into other shapes. However, if it tries to transform itself into something by relying on its memory, this Pokémon manages to get details wrong."
alpha-sapphire,"Ditto rearranges its cell structure to transform itself into other shapes. However, if it tries to transform itself into something by relying on its memory, this Pokémon manages to get details wrong."
sun,It can reorganize its cells to make itself into a duplicate of anything it sees. The quality of the duplicate depends on the individual.
moon,"With its astonishing capacity for metamorphosis, it can get along with anything. It does not get along well with its fellow Ditto."
ultra-sun,"While it can transform into anything, each Ditto apparently has its own strengths and weaknesses when it comes to transformations."
ultra-moon,"It transforms into whatever it sees. If the thing it’s transforming into isn’t right in front of it, Ditto relies on its memory—so sometimes it fails."
lets-go-pikachu,"When it spots an enemy, its body transfigures into an almost-perfect copy of its opponent."
lets-go-eevee,"When it spots an enemy, its body transfigures into an almost-perfect copy of its opponent."
sword,"It can reconstitute its entire cellular structure to change into what it sees, but it returns to normal when it relaxes."
shield,"When it encounters another Ditto, it will move faster than normal to duplicate that opponent exactly."
