Game,Flavor Text
gold,"Although it always pretends to be a tree, its composi­ tion appears to be closer to a rock than a plant."
silver,"It disguises it­ self as a tree to avoid attack. It hates water, so it will disappear if it starts raining."
crystal,"If a tree branch shakes when there is no wind, it's a SUDOWOODO, not a tree. It hides from the rain."
ruby,"SUDOWOODO camouflages itself as a tree to avoid being attacked by enemies. However, because the forelegs remain green throughout the year, the POKéMON is easily identified as a fake during the winter."
sapphire,"SUDOWOODO camouflages itself as a tree to avoid being attacked by enemies. However, because the forelegs remain green throughout the year, the POKéMON is easily identified as a fake during the winter."
emerald,"It mimics a tree to avoid being attacked by enemies. But since its forelegs remain green throughout the year, it is easily identified as a fake in the winter."
firered,"It disguises itself as a tree to avoid attack. It hates water, so it will disappear if it starts raining."
leafgreen,"Although it always pretends to be a tree, its composition appears to be closer to a rock than a plant."
diamond,"Despite appearing to be a tree, its body is closer to rocks and stones. It is very weak to water."
pearl,"It stands along paths pretending to be a tree. If it starts raining, it seems to disappear."
platinum,"To avoid being attacked, it does nothing but mimic a tree. It hates water and flees from rain."
heartgold,"Although it always pretends to be a tree, its composition appears more similar to rock than to vegetation."
soulsilver,"It disguises itself as a tree to avoid attack. It hates water, so it will disappear if it starts raining."
black,"To avoid being attacked, it does nothing but mimic a tree. It hates water and flees from rain."
white,"To avoid being attacked, it does nothing but mimic a tree. It hates water and flees from rain."
black-2,"To avoid being attacked, it does nothing but mimic a tree. It hates water and flees from rain."
white-2,"To avoid being attacked, it does nothing but mimic a tree. It hates water and flees from rain."
x,"Although it always pretends to be a tree, its composition appears more similar to rock than to vegetation."
y,"It disguises itself as a tree to avoid attack. It hates water, so it will disappear if it starts raining."
omega-ruby,"Sudowoodo camouflages itself as a tree to avoid being attacked by enemies. However, because its hands remain green throughout the year, the Pokémon is easily identified as a fake during the winter."
alpha-sapphire,"Sudowoodo camouflages itself as a tree to avoid being attacked by enemies. However, because its hands remain green throughout the year, the Pokémon is easily identified as a fake during the winter."
sun,"To avoid attack, it mimics a tree. It will run off if splashed with water, which it hates."
moon,"Apparently, the larger the green parts of this Pokémon, the more collectors value it. It’s a particular favorite among elderly people."
ultra-sun,It’s so popular with the elderly that there’s a magazine devoted to this Pokémon. Fans obsess over the particular length and angle of its arms.
ultra-moon,The result of its holding the same pose all the time is arms that have become supple yet strong.
sword,"If a tree branch shakes when there is no wind, it’s a Sudowoodo, not a tree. It hides from the rain."
shield,"It disguises itself as a tree to avoid attack. It hates water, so it will disappear if it starts raining."
legends-arceus,"Though it pretends to be a tree, it fails to fool even children. To the touch, its body feels more like rock than tree bark. Sudowoodo's extreme aversion to water merits special note."
