Game,Flavor Text
gold,It continuously sheds and grows. The tip of its head is prized as a treasure for its beauty.
silver,"In a south sea nation, the people live in communi­ ties that are built on groups of these POKéMON."
crystal,The points on its head absorb nutrients from clean water. They cannot survive in polluted water.
ruby,"CORSOLA’s branches glitter very beautifully in seven colors when they catch sunlight. If any branch breaks off, this POKéMON grows it back in just one night."
sapphire,"Clusters of CORSOLA congregate in warm seas where they serve as ideal hiding places for smaller POKéMON. When the water temperature falls, this POKéMON migrates to the southern seas."
emerald,"CORSOLA live in warm southern seas. If the sea becomes polluted, the beautiful coral stalks become discolored and crumble away in tatters."
firered,"In a south sea nation, the people live in communities that are built on groups of these POKéMON."
leafgreen,It continuously sheds and grows. The tip of its head is prized as a treasure for its beauty.
diamond,Many live in the clean seas of the south. They apparently can’t live in polluted waters.
pearl,Many live in the clean seas of the south. They apparently can’t live in polluted waters.
platinum,Many live in the clean seas of the south. They apparently can’t live in polluted waters.
heartgold,It continuously sheds and grows. The tip of its head is prized as a treasure because of its beauty.
soulsilver,"In a south-sea nation, the people live in communities that are built on groups of these Pokémon."
black,Many live in the clean seas of the south. They apparently can’t live in polluted waters.
white,Many live in the clean seas of the south. They apparently can’t live in polluted waters.
black-2,They prefer unpolluted southern seas. Their coral branches lose their color and deteriorate in dirty water.
white-2,They prefer unpolluted southern seas. Their coral branches lose their color and deteriorate in dirty water.
x,It continuously sheds and grows. The tip of its head is prized as a treasure because of its beauty.
y,They prefer unpolluted southern seas. Their coral branches lose their color and deteriorate in dirty water.
omega-ruby,"Corsola’s branches glitter very beautifully in seven colors when they catch sunlight. If any branch breaks off, this Pokémon grows it back in just one night."
alpha-sapphire,"Clusters of Corsola congregate in warm seas where they serve as ideal hiding places for smaller Pokémon. When the water temperature falls, this Pokémon migrates to the southern seas."
sun,"Coral branches grow from its head. They break off quite easily, but they grow back in about three days."
moon,"Pursued by Mareanie for the branches on its head, this Pokémon will sometimes snap its own branches off as a diversion while it escapes."
ultra-sun,"The pink of Corsola that live in Alola is deep and vibrant, thanks to seas filled with nutrition."
ultra-moon,"In Alola, where their natural enemies Mareanie are plentiful, many Corsola have stubby branches on their heads."
sword,It will regrow any branches that break off its head. People keep particularly beautiful Corsola branches as charms to promote safe childbirth.
shield,"These Pokémon live in warm seas. In prehistoric times, many lived in the oceans around the Galar region as well."
