Game,Flavor Text
red,It spits out POISONPOWDER to immobilize the enemy and then finishes it with a spray of ACID.
blue,It spits out POISONPOWDER to immobilize the enemy and then finishes it with a spray of ACID.
yellow,"When hungry, it swallows anything that moves. Its hapless prey is melted inside by strong acids."
gold,"Even though it is filled with ACID, it does not melt because it also oozes a neutral­ izing fluid."
silver,"If its prey is bigger than its mouth, it slices up the victim with sharp leaves, then eats every morsel."
crystal,"When it's hungry, it swings its razor-sharp leaves, slicing up any unlucky object nearby for food."
ruby,"WEEPINBELL has a large hook on its rear end. At night, the POKéMON hooks on to a tree branch and goes to sleep. If it moves around in its sleep, it may wake up to find itself on the ground."
sapphire,"WEEPINBELL has a large hook on its rear end. At night, the POKéMON hooks on to a tree branch and goes to sleep. If it moves around in its sleep, it may wake up to find itself on the ground."
emerald,"At night, a WEEPINBELL hangs on to a tree branch with its hooked rear and sleeps. If it moves around in its sleep, it may wake up to find itself on the ground."
firered,The leafy parts act as cutters for slashing foes. It spits a fluid that dissolves everything.
leafgreen,It spits out POISONPOWDER to immobilize the enemy and then finishes it with a spray of ACID.
diamond,A Pokémon that appears to be a plant. It captures unwary prey by dousing them with a toxic powder.
pearl,A Pokémon that appears to be a plant. It captures unwary prey by dousing them with a toxic powder.
platinum,A Pokémon that appears to be a plant. It captures unwary prey by dousing them with a toxic powder.
heartgold,"Even though it is filled with acid, it does not melt because it also oozes a protective fluid."
soulsilver,"If its prey is bigger than its mouth, it slices up the victim with sharp leaves, then eats every morsel."
black,A Pokémon that appears to be a plant. It captures unwary prey by dousing them with a toxic powder.
white,A Pokémon that appears to be a plant. It captures unwary prey by dousing them with a toxic powder.
black-2,A Pokémon that appears to be a plant. It captures unwary prey by dousing them with a toxic powder.
white-2,A Pokémon that appears to be a plant. It captures unwary prey by dousing them with a toxic powder.
x,The leafy parts act as cutters for slashing foes. It spits a fluid that dissolves everything.
y,It spits out Poison Powder to immobilize the enemy and then finishes it with a spray of Acid.
omega-ruby,"Weepinbell has a large hook on its rear end. At night, the Pokémon hooks on to a tree branch and goes to sleep. If it moves around in its sleep, it may wake up to find itself on the ground."
alpha-sapphire,"Weepinbell has a large hook on its rear end. At night, the Pokémon hooks on to a tree branch and goes to sleep. If it moves around in its sleep, it may wake up to find itself on the ground."
lets-go-pikachu,"When hungry, it swallows anything that moves. Its hapless prey is dissolved by strong acids."
lets-go-eevee,"When hungry, it swallows anything that moves. Its hapless prey is dissolved by strong acids."
