Game,Flavor Text
x,"In the fever of an exciting battle, it showers embers from the gaps between its feathers and takes to the air."
y,"When attacking prey, it can reach speeds of up to 310 mph. It finishes its prey off with a colossal kick."
omega-ruby,"In the fever of an exciting battle, it showers embers from the gaps between its feathers and takes to the air."
alpha-sapphire,"When attacking prey, it can reach speeds of up to 310 mph. It finishes its prey off with a colossal kick."
sun,Its favorite foods are Wingull and Pikipek. It attacks with a powerful kick and grasps them firmly in its talons.
moon,"It zooms directly at its prey at flight speeds of close to 310 mph, while fiery embers scatter from gaps in its feathers."
ultra-sun,"Its tough wings don’t allow fire to pass through them. A long time ago, firefighters’ outfits were made from Talonflame wings."
ultra-moon,Bird Pokémon make up most of its diet. It approaches at high speeds and smacks them down to the ground with its powerful kick.
sword,"Talonflame mainly preys upon other bird Pokémon. To intimidate opponents, it sends embers spewing from gaps between its feathers."
shield,"Talonflame dives toward prey at speeds of up to 310 mph and assaults them with powerful kicks, giving the prey no chance to escape."
