Game,Flavor Text
gold,It has superb ac­ curacy. The water it shoots out can strike even moving prey from more than 300 feet.
silver,"Using its dorsal fin as a suction pad, it clings to a MANTINE's under­ side to scavenge for leftovers."
crystal,"To escape from an attacker, it may shoot water out of its mouth, then use that force to swim backward."
ruby,"REMORAID sucks in water, then expels it at high velocity using its abdominal muscles to shoot down flying prey. When evolution draws near, this POKéMON travels downstream from rivers."
sapphire,"REMORAID sucks in water, then expels it at high velocity using its abdominal muscles to shoot down flying prey. When evolution draws near, this POKéMON travels downstream from rivers."
emerald,"A REMORAID uses its abdominal muscles to forcefully expel swallowed water, then shoot down flying prey. When evolution approaches, it travels down rivers."
firered,"Using its dorsal fin as a suction pad, it clings to a MANTINE’s underside to scavenge for leftovers."
leafgreen,It has superb accuracy. The water it shoots out can strike even moving prey from more than 100 yards.
diamond,It squirts water forcefully from its mouth to shoot down flying prey.
pearl,It clings to MANTINE to feed on the big Pokémon’s scraps. This is an adaptation to avoid foes.
platinum,It forcefully squirts water. The water jet never misses prey even if the REMORAID is deep in the sea.
heartgold,It has superb accuracy. The water it shoots out can strike moving prey from more than 300 feet away.
soulsilver,"Using its dorsal fin as a suction pad, it clings to a MANTINE’s underside to scavenge for leftovers."
black,It forcefully squirts water. The water jet never misses prey even if the Remoraid is deep in the sea.
white,It forcefully squirts water. The water jet never misses prey even if the Remoraid is deep in the sea.
black-2,The water they shoot from their mouths can hit moving prey from more than 300 feet away.
white-2,The water they shoot from their mouths can hit moving prey from more than 300 feet away.
x,It has superb accuracy. The water it shoots out can strike moving prey from more than 300 feet away.
y,"Using its dorsal fin as a suction pad, it clings to a Mantine’s underside to scavenge for leftovers."
omega-ruby,"Remoraid sucks in water, then expels it at high velocity using its abdominal muscles to shoot down flying prey. When evolution draws near, this Pokémon travels downstream from rivers."
alpha-sapphire,"Remoraid sucks in water, then expels it at high velocity using its abdominal muscles to shoot down flying prey. When evolution draws near, this Pokémon travels downstream from rivers."
ultra-sun,"This Pokémon clings to Mantine and shares in its prosperity. When its Mantine is attacked, Remoraid will fight alongside it!"
ultra-moon,"Also known as the “sniper of the seas,” its water gun can hit prey without fail from over 300 feet away."
sword,The water they shoot from their mouths can hit moving prey from more than 300 feet away.
shield,"Using its dorsal fin as a suction pad, it clings to a Mantine’s underside to scavenge for leftovers."
legends-arceus,Spits water from its mouth with incredible accuracy. It captures Burmy by shooting them down off the branches from which they dangle.
