Game,Flavor Text
red,Its body always burns with an orange glow that enables it to hide perfectly among flames.
blue,Its body always burns with an orange glow that enables it to hide perfectly among flames.
yellow,"Born in an active volcano. Its body is always cloaked in flames, so it looks like a big ball of fire."
gold,"It dislikes cold places, so it blows scorching flames to make the environment suit­ able for itself."
silver,"The fiery surface of its body gives off a wavering, rippling glare that is similar to the sun."
crystal,It moves more frequently in hot areas. It can heal itself by dipping its wound into lava.
ruby,"In battle, MAGMAR blows out intensely hot flames from all over its body to intimidate its opponent. This POKéMON’s fiery bursts create heat waves that ignite grass and trees in its surroundings."
sapphire,"In battle, MAGMAR blows out intensely hot flames from all over its body to intimidate its opponent. This POKéMON’s fiery bursts create heat waves that ignite grass and trees in its surroundings."
emerald,"In battle, it blows out intense flames from all over its body to intimidate its foe. These fiery bursts create heat waves that ignite grass and trees in the area."
firered,"Found near the mouth of a volcano. This fire-breather’s body temperature is nearly 2,200 degrees Fahrenheit."
leafgreen,Its body always burns with an orange glow that enables it to hide perfectly amidst flames.
diamond,"Born in the spout of a volcano, its body is covered by flames that shimmer like the sun."
pearl,"Born in the spout of a volcano, its body is covered by flames that shimmer like the sun."
platinum,"When it breathes deeply, heat waves form around its body, making it hard to see clearly."
heartgold,"It dislikes cold places, so it blows scorching flames to make the environment suitable for itself."
soulsilver,"The fiery surface of its body gives off a wavering, rippling glare that is similar to the sun."
black,"When it breathes deeply, heat waves form around its body, making it hard to see clearly."
white,"When it breathes deeply, heat waves form around its body, making it hard to see clearly."
black-2,"The scorching fire exhaled by Magmar forms heat waves around its body, making it hard to see the Pokémon clearly."
white-2,"The scorching fire exhaled by Magmar forms heat waves around its body, making it hard to see the Pokémon clearly."
x,"Found near the mouth of a volcano. This fire-breather’s body temperature is nearly 2,200 degrees Fahrenheit."
y,"Born in the spout of a volcano, its body is covered by flames that shimmer like the sun."
omega-ruby,"In battle, Magmar blows out intensely hot flames from all over its body to intimidate its opponent. This Pokémon’s fiery bursts create heat waves that ignite grass and trees in its surroundings."
alpha-sapphire,"In battle, Magmar blows out intensely hot flames from all over its body to intimidate its opponent. This Pokémon’s fiery bursts create heat waves that ignite grass and trees in its surroundings."
sun,"When it’s tired, it leaps into the mouth of a volcano and soaks its body in magma to ease its weariness. Its body burns at 2,192 degrees F."
moon,"When angered, it spouts brilliant fire from all over its body. It doesn’t calm down until its opponent has burned to ash."
ultra-sun,"Its entire body is burning. When it breathes, the temperature rises. When it sneezes, flames shoot out!"
ultra-moon,"The hotter the place, the better they feel. Magmar in Alola are said to be hardier than those in other areas."
lets-go-pikachu,"Born in an active volcano. Its body is always cloaked in flames, so it looks like a big ball of fire."
lets-go-eevee,"Born in an active volcano. Its body is always cloaked in flames, so it looks like a big ball of fire."
sword,Magmar dispatches its prey with fire. But it regrets this habit once it realizes that it has burned its intended prey to a charred crisp.
shield,These Pokémon’s bodies are constantly burning. Magmar are feared as one of the causes behind fires.
legends-arceus,"Legend has it that this Pokémon was born from the crater of a volcano. When wounded, it bathes in lava to heal its body, much as one would soak in a hot spring."
