Game,Flavor Text
gold,"It never sleeps. It has to keep moving because if it stopped, its magma body would cool and harden."
silver,"A common sight in volcanic areas, it slowly slithers around in a con­ stant search for warm places."
crystal,"These group to­ gether in areas that are hotter than normal. If it cools off, its skin hardens."
ruby,"Molten magma courses throughout SLUGMA’s circulatory system. If this POKéMON is chilled, the magma cools and hardens. Its body turns brittle and chunks fall off, reducing its size."
sapphire,"SLUGMA does not have any blood in its body. Instead, intensely hot magma circulates throughout this POKéMON’s body, carrying essential nutrients and oxygen to its organs."
emerald,"It is a species of POKéMON that lives in volcanic areas. If its body cools, its skin hardens and immobilizes it. To avoid that, it sleeps near magma."
firered,"A common sight in volcanic areas, it slowly slithers around in a constant search for warm places."
leafgreen,"It never sleeps. It has to keep moving because if it stopped, its magma body would cool and harden."
diamond,"Its body is made of magma. If it doesn’t keep moving, its body will cool and harden."
pearl,"Its body is made of magma. If it doesn’t keep moving, its body will cool and harden."
platinum,"Its body is made of magma. If it doesn’t keep moving, its body will cool and harden."
heartgold,"It never sleeps. It has to keep moving because if it stopped, its magma body would cool and harden."
soulsilver,"A common sight in volcanic areas, it slowly slithers around in a constant search for warm places."
black,"Its body is made of magma. If it doesn’t keep moving, its body will cool and harden."
white,"Its body is made of magma. If it doesn’t keep moving, its body will cool and harden."
black-2,"Its body is made of magma. If it doesn’t keep moving, its body will cool and harden."
white-2,"Its body is made of magma. If it doesn’t keep moving, its body will cool and harden."
x,"A common sight in volcanic areas, it slowly slithers around in a constant search for warm places."
y,"Its body is made of magma. If it doesn’t keep moving, its body will cool and harden."
omega-ruby,"Molten magma courses throughout Slugma’s circulatory system. If this Pokémon is chilled, the magma cools and hardens. Its body turns brittle and chunks fall off, reducing its size."
alpha-sapphire,"Slugma does not have any blood in its body. Instead, intensely hot magma circulates throughout this Pokémon’s body, carrying essential nutrients and oxygen to its organs."
