Game,Flavor Text
red,"When it targets an enemy, it charges furiously while whipping its body with its long tails."
blue,"When it targets an enemy, it charges furiously while whipping its body with its long tails."
yellow,"A rowdy POKéMON with a lot of stamina. Once running, it won't stop until it hits something."
gold,They fight each other by locking horns. The herd's protector takes pride in its bat­ tle-scarred horns.
silver,"After heightening its will to fight by whipping itself with its three tails, it charges at full speed."
crystal,These violent POKéMON fight with other mem­ bers of their herd in order to prove their strength.
ruby,"This POKéMON is not satisfied unless it is rampaging at all times. If there is no opponent for TAUROS to battle, it will charge at thick trees and knock them down to calm itself."
sapphire,"This POKéMON is not satisfied unless it is rampaging at all times. If there is no opponent for TAUROS to battle, it will charge at thick trees and knock them down to calm itself."
emerald,"It is not satisfied unless it is rampaging at all times. If there is no opponent for TAUROS to battle, it will charge at thick trees and knock them down to calm itself."
firered,"When it is about to TACKLE, it whips its body repeatedly with its three long tails."
leafgreen,"When it targets an enemy, it charges furiously while whipping its body with its long tails."
diamond,"Once it takes aim at its foe, it makes a headlong charge. It is famous for its violent nature."
pearl,"Once it takes aim at its foe, it makes a headlong charge. It is famous for its violent nature."
platinum,"Once it takes aim at its foe, it makes a headlong charge. It is famous for its violent nature."
heartgold,They fight each other by locking horns. The herd’s protector takes pride in its battle-scarred horns.
soulsilver,"After heightening its will to fight by whipping itself with its three tails, it charges at full speed."
black,"Once it takes aim at its foe, it makes a headlong charge. It is famous for its violent nature."
white,"Once it takes aim at its foe, it makes a headlong charge. It is famous for its violent nature."
black-2,"Once it takes aim at its foe, it makes a headlong charge. It is famous for its violent nature."
white-2,"Once it takes aim at its foe, it makes a headlong charge. It is famous for its violent nature."
x,"After heightening its will to fight by whipping itself with its three tails, it charges at full speed."
y,"When it is about to tackle, it whips its body repeatedly with its three long tails."
omega-ruby,"This Pokémon is not satisfied unless it is rampaging at all times. If there is no opponent for Tauros to battle, it will charge at thick trees and knock them down to calm itself."
alpha-sapphire,"This Pokémon is not satisfied unless it is rampaging at all times. If there is no opponent for Tauros to battle, it will charge at thick trees and knock them down to calm itself."
sun,"Historically, people in areas all over the world have ridden Tauros, but the practice is said to have started in Alola."
moon,"Although it’s known to be a fierce Pokémon, Tauros in the Alola region are said to possess a measure of calmness."
ultra-sun,"They live in groups. The one with the longest, thickest, and most-scarred horns is the boss of the herd."
ultra-moon,The climate seems to be related to the reason Tauros in Alola are a little calmer than those in other regions.
lets-go-pikachu,"A rowdy Pokémon with a lot of stamina. Once running, it won’t stop until it hits something."
lets-go-eevee,"A rowdy Pokémon with a lot of stamina. Once running, it won’t stop until it hits something."
sword,"When Tauros begins whipping itself with its tails, it’s a warning that the Pokémon is about to charge with astounding speed."
shield,"The Tauros of the Galar region are volatile in nature, and they won’t allow people to ride on their backs."
