Game,Flavor Text
gold,"Because the long hair all over its body obscures its sight, it just keeps charging repeatedly."
silver,"If it charges at an enemy, the hairs on its back stand up straight. It is very sensi­ tive to sound."
crystal,"Although its legs are short, its rugged hooves prevent it from slipping, even on icy ground."
ruby,PILOSWINE is covered by a thick coat of long hair that enables it to endure the freezing cold. This POKéMON uses its tusks to dig up food that has been buried under ice.
sapphire,PILOSWINE is covered by a thick coat of long hair that enables it to endure the freezing cold. This POKéMON uses its tusks to dig up food that has been buried under ice.
emerald,A PILOSWINE is covered by a thick coat of long hair for enduring freezing cold. It uses its tusks to dig up food that has been buried under ice.
firered,"If it charges at an enemy, the hairs on its back stand up straight. It is very sensitive to sound."
leafgreen,"Because the long hair all over its body obscures its sight, it just keeps charging repeatedly."
diamond,Its shaggy coat makes it unable to see. It checks surroundings with its sensitive nose instead.
pearl,Its shaggy coat makes it unable to see. It checks surroundings with its sensitive nose instead.
platinum,"Covered by a shaggy coat, it is strong against the cold. Its tusks of ice thicken when it snows."
heartgold,"Because the long hair all over its body obscures its sight, it just keeps charging repeatedly."
soulsilver,"If it charges at an enemy, the hairs on its back stand up straight. It is very sensitive to sound."
black,"Covered by a shaggy coat, it is strong against the cold. Its tusks of ice thicken when it snows."
white,"Covered by a shaggy coat, it is strong against the cold. Its tusks of ice thicken when it snows."
black-2,"With its excellent sense of smell, it’s even able to find mushrooms that are buried under frozen ground."
white-2,"With its excellent sense of smell, it’s even able to find mushrooms that are buried under frozen ground."
x,"Although its legs are short, its rugged hooves prevent it from slipping, even on icy ground."
y,"Because the long hair all over its body obscures its sight, it just keeps charging repeatedly."
omega-ruby,Piloswine is covered by a thick coat of long hair that enables it to endure the freezing cold. This Pokémon uses its tusks to dig up food that has been buried under ice.
alpha-sapphire,Piloswine is covered by a thick coat of long hair that enables it to endure the freezing cold. This Pokémon uses its tusks to dig up food that has been buried under ice.
sword,"If it charges at an enemy, the hairs on its back stand up straight. It is very sensitive to sound."
shield,"Although its legs are short, its rugged hooves prevent it from slipping, even on icy ground."
legends-arceus,"The long fur of this Pokémon covers its eyes, ears, and even limbs, allowing Piloswine to resist harshly frigid conditions. The Pokémon's white tusks can be used to defeat its enemies."
