Game,Flavor Text
diamond,All of its fur dazzles if danger is sensed. It flees while the foe is momentarily blinded.
pearl,Its forelegs have a muscle-based system of generating electricity. Its body shines if endangered.
platinum,The extension and contraction of its muscles generates electricity. It glows when in trouble.
heartgold,The extension and contraction of its muscles generates electricity. Its fur glows when it’s in trouble.
soulsilver,The extension and contraction of its muscles generates electricity. Its fur glows when it’s in trouble.
black,The extension and contraction of its muscles generates electricity. It glows when in trouble.
white,The extension and contraction of its muscles generates electricity. It glows when in trouble.
black-2,The extension and contraction of its muscles generates electricity. It glows when in trouble.
white-2,The extension and contraction of its muscles generates electricity. It glows when in trouble.
x,The extension and contraction of its muscles generates electricity. It glows when in trouble.
y,All of its fur dazzles if danger is sensed. It flees while the foe is momentarily blinded.
omega-ruby,The extension and contraction of its muscles generates electricity. It glows when in trouble.
alpha-sapphire,All of its fur dazzles if danger is sensed. It flees while the foe is momentarily blinded.
sword,This Pokémon generates electricity by contracting its muscles. Excited trembling is a sign that Shinx is generating a tremendous amount of electricity.
shield,Electricity makes this Pokémon’s fur glow. Shinx sends signals to others of its kind by shaking the tip of its tail while the tail tip is shining brightly.
legends-arceus,Shakes its body to generate electricity. Its stature belies its aggression—one must be patient to tame this Pokémon.
