Game,Flavor Text
y,"It has a timid nature. If it is startled, the flames on its back burn more vigorously."
gold,"It is timid, and always curls it­ self up in a ball. If attacked, it flares up its back for protection."
silver,"It usually stays hunched over. If it is angry or surprised, it shoots flames out of its back."
crystal,The fire that spouts from its back burns hottest when it is angry. The flaring flames intimidate foes.
ruby,"CYNDAQUIL protects itself by flaring up the flames on its back. The flames are vigorous if the POKéMON is angry. However, if it is tired, the flames splutter fitfully with incomplete combustion."
sapphire,"CYNDAQUIL protects itself by flaring up the flames on its back. The flames are vigorous if the POKéMON is angry. However, if it is tired, the flames splutter fitfully with incomplete combustion."
emerald,"It flares flames from its back to protect itself. The fire burns vigorously if the POKéMON is angry. When it is tired, it sputters with incomplete combustion."
firered,"It usually stays hunched over. If it is angry or surprised, it shoots flames out of its back."
leafgreen,"It is timid and always curls itself up in a ball. If attacked, it flares up its back for protection."
diamond,"It has a timid nature. If it is startled, the flames on its back burn more vigorously."
pearl,"It has a timid nature. If it is startled, the flames on its back burn more vigorously."
platinum,"It has a timid nature. If it is startled, the flames on its back burn more vigorously."
heartgold,"It is timid, and always curls itself up in a ball. If attacked, it flares up its back for protection."
soulsilver,"It usually stays hunched over. If it is angry or surprised, it shoots flames out of its back."
black,"It has a timid nature. If it is startled, the flames on its back burn more vigorously."
white,"It has a timid nature. If it is startled, the flames on its back burn more vigorously."
black-2,"It has a timid nature. If it is startled, the flames on its back burn more vigorously."
white-2,"It has a timid nature. If it is startled, the flames on its back burn more vigorously."
x,"It is timid and always curls itself up in a ball. If attacked, it flares up its back for protection."
omega-ruby,"Cyndaquil protects itself by flaring up the flames on its back. The flames are vigorous if the Pokémon is angry. However, if it is tired, the flames splutter fitfully with incomplete combustion."
alpha-sapphire,"Cyndaquil protects itself by flaring up the flames on its back. The flames are vigorous if the Pokémon is angry. However, if it is tired, the flames splutter fitfully with incomplete combustion."
legends-arceus,"Hails from the Johto region. Though usually curled into a ball due to its timid disposition, it harbors tremendous firepower."
